"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___RNAseq.g10490.t1",8.62710602350613,8.31285931065713,8.11365421888893,8.26454236039835,8.23301894151522,7.17326183966888,8.05445768547114,8.54146984410405,7.65132198693036,8.79965106928699,8.8293777701423,7.4533693621641,7.74779402536157,8.3870210412092,7.42882813438542,7.96110353203241,8.29585031892138,7.68116071247877,8.30980947082266,8.21818202929605,7.30374510293399,7.71019523075004,7.13630773149668,7.97111459831394,7.52363873654936,7.73864713380684,7.40996087714536,7.69925324498863,7.46350122770635,7.10653623851252,7.96674910266466,8.15907572234255,8.50894747948854,7.25532901794236,7.24797675806357,7.23348364153487,8.05570137439222,8.39967034563113,8.47293328596843,6.73010045367618,7.49393547705097,7.26487399994162
"Pocillopora_acuta_HIv2___RNAseq.g10491.t1",8.68870397144961,8.39053600271214,8.26734183827583,8.39477880421396,8.41117755990497,7.35368268518136,8.23462476304095,8.63863478906899,7.91988417545845,8.9193239146,8.93442770207194,7.75341251533544,7.94359763684489,8.73060272301393,7.65155005879866,8.21139892035799,8.33666478863443,7.71509142165442,8.56823912854096,8.35105428113868,7.48745643468473,7.58950046475412,7.36907042166015,8.16641264292037,7.7456298818519,8.07563650760936,7.51242870512209,7.76549164284093,7.65171543916298,7.35313679708183,8.01017717379016,8.2881314146202,8.72564556989956,7.4153625142897,7.55372779200393,7.48983948909275,8.22202703854532,8.50050725493777,8.53486762382777,6.88919825044007,7.5298062586826,7.40819005368123
"Pocillopora_acuta_HIv2___RNAseq.g10492.t3",11.1658205614645,11.3309176023005,10.9243137657763,11.3206062348392,11.2478344569199,11.1972157450168,10.8838083516283,11.0342494547998,11.1396561857753,11.3571276698645,11.1946861405588,11.1979223761797,11.1491117081036,11.2517758354814,10.9097201736623,10.6132226810253,10.9148633704202,11.0268069163679,11.1095141971925,11.1137499902578,10.5968123402066,10.9226851705901,11.2699799870385,10.638831854552,10.7742748115472,10.9371948799237,11.2133370693048,11.2902658702628,11.4696628044808,11.2894256076834,11.0524407787391,11.2381760708622,11.0417387891124,11.0521229360014,11.1333045925407,10.9998468527913,10.9151105896606,11.2459831131308,11.1601053703591,10.6465077952946,11.7071174628241,11.1114536078432
"Pocillopora_acuta_HIv2___RNAseq.g10493.t1",8.86158364868257,8.58378484226415,8.51030087869831,8.54970980470485,8.50698511442701,7.40500141791877,8.43030247652738,8.46849551846594,8.09222653874113,8.92441229493326,8.84365943650753,7.52685712097581,7.94359763684489,8.93249240366784,7.6849548981182,8.04400838153625,8.16538528664999,8.07228766859926,8.74717565681019,8.3976914504333,7.35935914359568,7.67691238790894,7.53590815381292,8.15967293019608,7.85491236751802,7.82770209677015,7.71198532716913,8.06997302850251,7.7758648765729,7.33193856937958,8.06396588433055,8.41579114749551,8.84238554213721,7.22777198223533,7.86517365617385,7.3561613088096,7.97120758682986,8.66191336937866,8.49804412464538,7.1689401717348,7.45692771375585,7.48811458399627
"Pocillopora_acuta_HIv2___TS.g28652.t1",8.77310894483952,8.79251961169637,8.65967200254781,8.84452088574348,8.87412470570625,8.74837988520393,8.66080674602277,8.94452534072727,8.59183980058665,9.23937331482574,8.86341157889236,8.80794174814179,8.79722966400996,9.0467720295069,8.57723172115319,8.48767328022461,9.1718551491589,8.60167524790292,8.71158919793489,8.48642578816494,8.66184799323336,8.71721515000856,9.04067643988534,8.60447642153527,8.3556790823763,8.69488106954446,8.69437379701361,8.97529919108352,8.85122933727356,8.52816143620965,8.70746365345207,8.92473232123008,8.90989646476887,8.62636924237234,8.93705303258652,8.4350556297232,8.61871905974966,8.81014261003865,8.72675903739258,8.56777725289128,9.6674034009063,8.90454059559223
"Pocillopora_acuta_HIv2___RNAseq.g10495.t1",6.59339817742563,6.45005722244742,6.43148432558602,6.51922836313274,6.20155397618171,6.04555299989198,6.41568873487643,6.55493592076102,6.56071871729064,6.78728647997565,6.61695450420951,6.46940512666386,6.3687114825626,6.69961505206057,6.22003139701561,6.76602630157651,6.35893867701576,6.10088987153604,6.77855559229069,6.49822433671428,6.17928688591716,6.14937019174248,6.29057928380987,6.43199846561015,6.36643651714812,6.53495779150993,6.20595297620009,6.36751851785344,6.65584024807993,6.2533471480287,6.65155990891903,6.50063892450829,6.65034234360631,6.11141777535988,6.39731433587914,6.3449022877564,6.49569841676905,6.79547857812202,6.72716478776799,6.21613477062145,6.31877342040196,6.06550871799608
"Pocillopora_acuta_HIv2___RNAseq.g10496.t1",7.0232894119792,6.76833696196731,6.61501218658081,6.59434572121349,7.31833811959185,7.10920891348586,6.57169716228058,6.76295160288432,7.12797770591003,6.61671808566759,7.00763070186506,6.13970530213834,7.03585513974672,6.96836054830108,6.90026798785142,6.76602630157651,6.28381799169975,6.72188857995653,6.56161231143496,7.04137080260609,7.10868703419531,6.5760137128615,6.76080844341919,6.08368288616057,6.87768217728059,6.93481859498219,6.70000713396461,6.72337270689581,6.65584024807993,6.3387777279494,6.60518837840207,6.71082936133463,6.57965403696011,6.72825965330091,6.81408284915681,6.43087926070017,6.90036281824749,7.05706799316095,6.74673957013423,6.58473247936189,7.09550584863298,6.93422944905897
"Pocillopora_acuta_HIv2___RNAseq.g10497.t1",10.830881402596,10.6566673251094,11.0264618437248,10.8262923882525,10.7572359371907,10.8157190374719,11.3670557093733,10.8764837009466,10.9893331375487,11.3342211422511,10.6989007532351,10.5326072396559,12.6790032136205,10.9740391582872,11.0386819802829,11.0830535990841,10.7901222778618,10.9446373211477,11.4428666790545,11.4521876219289,12.1952125668122,11.6570618334962,11.0888998806088,12.2180278187561,11.6688104458182,11.3373206992871,11.1899286960118,10.38685487785,10.3760957370405,10.5821934417475,11.6103234599628,11.03298316512,10.8396910033538,10.150777510864,10.1625420141055,10.0751714924437,11.0790288638848,11.0664167679193,11.0158486959672,10.1363928799192,10.3271247525349,10.0108527874671
"Pocillopora_acuta_HIv2___RNAseq.g10498.t1",7.54576779060169,7.63471751912078,7.70142403031142,7.52068686056746,7.84694758597492,7.94696453687567,7.21412916278582,7.35755265367467,8.22645437818434,7.92900080137537,7.70239628705886,7.25707896386219,8.5740300616961,7.75628057104848,7.70456936229633,7.50798503058521,7.45021788202587,7.8622457794465,7.83729406682041,8.2986474770861,8.41555377433625,7.78196111746898,7.44621629820171,7.27856695858527,7.76451794857112,7.93984340635923,7.59364542631597,7.20971293865771,7.23839937801671,7.31032632030296,7.31904155362667,7.89995007222473,7.23871471319128,7.36726814241257,7.23533547900679,7.14310113731651,7.2646477766662,7.57524670253515,7.377087579715,7.54308796960479,7.10596550670577,7.29963759980857
"Pocillopora_acuta_HIv2___RNAseq.g10500.t1",7.27556866763527,7.34911151168278,7.25080331472235,7.52942662558808,7.32907337258289,7.38815353422728,7.35578943144381,7.19581130615903,7.52340930948911,6.72360479984371,6.63695492214436,7.36467041009342,7.49731778315423,7.25951949299412,7.71103868386813,6.73654508559672,6.70892013721438,7.25828199095782,7.10648833559447,7.16350260480826,7.39275971188585,7.0700600125538,7.4919237821493,6.85334055895607,7.63970600369956,7.45654670509273,7.8090200385984,6.72337270689581,7.31085450683378,7.10653623851252,7.73190509642312,7.23921376500801,7.81004894472136,7.21842540569715,7.58215828521165,7.14310113731651,7.4642736888595,7.2749407974487,7.61207878635831,7.29622253136261,7.71292864384132,7.02786527167161
