fragment_name,species,t_hours,t_hours,day,time,type,Tank,preservative,Plug #,Genotype,Color_Score_Image,Status,Notes
POR_R12_H3,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_5,DNA/RNA shield,2376,Unknown,IMG_4295,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909","Sampled 3rd - order messed up, make sure pictures reflect this"
POR_S12_H3,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_5,Formalin,2376,Unknown,IMG_4295,In flammable fridge in 70% ethanol,"Sampled 3rd - order messed up, make sure pictures reflect this"
POR_P24_C1,POR,24,control,"Thu, Jun 26",9:00 AM, phys,Tank_1,LN2,2984,Unknown,IMG_4299,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_C1,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_1,DNA/RNA shield,1298,Unknown,IMG_4300,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_C1,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_1,PAXgene,1298,Unknown,IMG_4300,In flammable fridge in Paxgene Stabilizer,
POR_S24_C1,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_1,Formalin,1471,Sep2024,IMG_4301,In flammable fridge in 70% ethanol,
POR_P24_C2,POR,24,control,"Thu, Jun 26",9:00 AM, phys,Tank_4,LN2,1694,Unknown,IMG_4302,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_C2,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_4,DNA/RNA shield,1254,Unknown,IMG_4303,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_C2,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_4,PAXgene,1254,Unknown,IMG_4303,In flammable fridge in Paxgene Stabilizer,
POR_S24_C2,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_4,Formalin,2881,Unknown,IMG_4304,In flammable fridge in 70% ethanol,
