Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR_R72_H1_S100_R2_001	POR_R72_H1_S100_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10983706.0	1.6 Gbp	0.0	151.0	50.0	8.50778692987657	151.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
POR_R72_H2_S51_R1_001	POR_R72_H2_S51_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15254037.0	2.3 Gbp	0.0	151.0	50.0	6.173973840245831	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
POR_R72_H2_S51_R2_001	POR_R72_H2_S51_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15254037.0	2.3 Gbp	0.0	151.0	49.0	7.090072467991966	151.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
POR_R72_H3_S10_R1_001	POR_R72_H3_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16191355.0	2.4 Gbp	0.0	151.0	45.0	35.50197657694894	151.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	warn
POR_R72_H3_S10_R2_001	POR_R72_H3_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16191355.0	2.4 Gbp	0.0	151.0	45.0	36.63337531979799	151.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	warn
run-2-MON_R0_C2_S48_R1_001	run-2-MON_R0_C2_S48_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3994923.0	603.2 Mbp	0.0	151.0	43.0	71.17398697712369	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R0_C2_S48_R2_001	run-2-MON_R0_C2_S48_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3994923.0	603.2 Mbp	0.0	151.0	43.0	75.22776747200865	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
run-2-MON_R0_C3_S40_R1_001	run-2-MON_R0_C3_S40_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4007859.0	605.1 Mbp	0.0	151.0	43.0	71.05715649531564	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R0_C3_S40_R2_001	run-2-MON_R0_C3_S40_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4007859.0	605.1 Mbp	0.0	151.0	43.0	74.81312013543617	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
run-2-MON_R0_H2_S43_R1_001	run-2-MON_R0_H2_S43_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3292779.0	497.2 Mbp	0.0	151.0	43.0	72.31868973736101	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
