"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___RNAseq.g2807.t2",10.7355669653256,10.8891919905022,10.8498766970799,10.8956198624401,10.6526576920374,10.7482978993212,10.9221007161439,10.7896942617043,10.99127199697,11.5556794157956,11.1070869682616,11.179563351095,11.2493219813463,10.8238221575743,10.8696008934339,11.4992331127658,11.8237245962217,11.9323430425917,11.0290123296016,10.7424394801318,10.7628622879508,11.0342978122388,10.8686658868952,11.3739433254414,11.1759296641149,10.7561782904426,10.788881021001,10.9406947082033,10.7645563829041,10.9876742778169,11.1384103117524,11.3207642756103,10.8781672108701,10.9203272711069,10.8488992825685,11.1306971354046,11.25238670431,11.275937581653,11.1979127529842,11.0160552244125,11.0523584814546,11.1398977694315
"Pocillopora_acuta_HIv2___RNAseq.g2808.t1",11.9030999112373,12.1239025027988,11.9445966110688,11.7405506230325,11.955181352451,11.841499064092,11.7630885533599,11.7685766086677,11.9897511942111,12.2086978835587,12.1510241073474,11.7027411291376,11.8964904916858,11.9335549499015,11.7303988622354,12.0396397672158,11.8755874323756,12.1209043973757,12.0050306395877,12.0107832838142,12.0380936792237,12.0570743816061,11.9681458500735,12.1786293057386,11.961185334946,11.9716545287567,11.8141675261661,11.7407972292706,11.8229872931816,11.4301216173952,11.7451296774158,12.0002095346894,11.9932610146055,11.6574656509813,11.766615422999,11.7075362758166,11.8403806827297,11.8506907543517,11.8595123059612,11.6776065539092,11.9693114154977,11.8529933840674
"Pocillopora_acuta_HIv2___RNAseq.g2810.t1",7.12240272015701,7.50062539891998,7.22843138031271,7.15038937500675,7.86754115817101,7.71860393985756,6.86859199856305,6.9828185458251,7.8054515591503,7.37834187487419,8.68744818364165,7.00186828703105,7.12816001644542,7.34803935376148,7.30811660580879,6.3382107672867,6.50797068757922,6.47673832231872,7.69899464678923,7.88189577910565,7.41233585399209,6.65148158175057,7.35904617416596,5.87018976267548,7.14748934603987,7.55814815695078,6.99501956861339,6.5941932611916,6.65584024803237,6.55647924805501,5.87018976267548,7.44049679769767,7.21528805840774,7.2553290179065,6.66160684721494,6.89335339585388,7.12448225645263,6.73202148430753,6.70707833106444,6.4983369503221,6.65879633489013,6.73150134908959
"Pocillopora_acuta_HIv2___RNAseq.g2812.t1",9.87907922278098,9.89474462884649,10.0636383659409,9.77243114543538,10.0957846649937,9.98639462539534,9.72354900462037,9.81154684298025,10.0383635524028,10.1491560579948,10.1565455608349,9.86932289749161,9.96484770424416,10.1772017074561,9.98954377009307,10.1570196195405,9.79710761871322,10.4989994909524,9.88286624173,10.1465709998438,10.272403138255,9.75569975352781,9.9641733011833,10.1226453637766,10.1127462620477,10.1181094228641,10.134956445858,9.66312280618687,9.76452615449992,9.85436041692438,9.84215300240922,9.85348651136398,9.82333684191597,9.75311041594001,9.67760569404104,9.54367502879192,9.81858731652771,9.87045676215756,9.81793897610588,9.83632959531747,8.9376212310621,9.4677873905155
"Pocillopora_acuta_HIv2___RNAseq.g2813.t4",11.6893795163072,11.5090620141023,11.6556160347798,11.4952989758808,11.6595187093538,11.4587325743349,11.1524734271545,11.5222274436807,11.6839204003847,12.3423386906667,12.3815506770287,11.565688575133,10.9582856666876,11.372279177197,11.086510219015,11.5972260582936,11.1372117749534,11.3621369873829,11.3941268479868,11.6607830715199,11.2603767991715,10.7156088805541,10.9165361201986,11.3436161915571,11.4232730248913,11.4898610518862,11.3164627430692,10.5280150628928,10.9681176717163,10.5870741450395,11.1561834011022,11.4450411584033,11.5509093963604,10.6229178886628,10.6584218118762,10.8165370043389,11.3553094847491,11.3516500122492,11.5474310282087,10.7643873568514,10.3686778633311,10.6054050305308
"Pocillopora_acuta_HIv2___RNAseq.8141_t",8.34012070560979,7.97964670287965,8.4354659885104,8.27427395986367,8.18586019236187,8.35393891077459,8.2985972960177,8.6740501405781,8.29316419792397,7.97579278787301,7.97239631722559,9.05329795683725,8.29789294453423,8.20300829376677,8.62001022278715,8.04400838151275,7.5029611549687,8.10559244641244,7.75780882963432,7.76982473819211,8.0847613963017,7.90726018811562,7.99210403470857,7.89063224349869,8.85897214130395,8.28953939431809,7.80351585340438,8.24939105642269,8.12511557185675,8.7433564039774,8.46100659940047,8.35518890408184,8.41349462551847,9.0592781870683,8.86092175032704,8.56571384174478,8.28849375786176,7.85298717427276,7.72172463928801,8.26991880758152,8.11530828993184,8.34168351079865
"Pocillopora_acuta_HIv2___RNAseq.8142_t",9.48066853699252,9.53805692131212,9.56421515718941,9.58055797288645,9.65271660279467,9.46653534659429,9.39705831895846,9.53364150146975,9.87810717410214,9.3986491926827,9.55392028421764,9.45901791854328,9.62357220236416,9.54952426304106,9.60513518054883,9.74254014252409,9.77004551616125,9.63149804710936,9.94285929987316,9.67116809101255,9.61797992674067,10.2123242436344,9.60703847188769,9.82378842527855,9.60745624498295,9.75003943092412,9.67268080013465,9.97026490063173,10.0136921423241,10.3177929115418,9.74245984447706,10.1441254284339,9.59115371092148,10.436383447258,10.4055566541758,10.2416955777693,9.6802719684716,9.91017430374412,9.70999971599928,10.5821454880386,10.2441185405384,10.3040931243861
"Pocillopora_acuta_HIv2___RNAseq.g2816.t1",11.6435687425124,11.5069525979784,11.5964856397247,11.7320631664212,11.5075193944258,11.6118210364803,11.5806242626096,11.4578583299609,11.570973913094,11.8330989138088,11.8082904493531,11.7084910741662,11.8337338587486,11.5428669295825,11.3171547336725,12.2199698596492,12.3325630986787,12.7634225569992,11.174394568617,11.5163316172307,11.332302664034,12.3605706141672,12.1301901103132,11.8413274450403,11.6251720227388,11.4648481182237,11.5549805108061,11.7374102780491,11.8566711305602,11.6454786897254,11.5513692106945,11.530948672382,11.6987722491105,11.5578008143312,11.5475540978973,11.4681103705059,11.5394935009641,11.6655197709824,11.69745912197,11.9200539293439,11.6858703261069,11.8521553938859
"Pocillopora_acuta_HIv2___RNAseq.g2817.t1",6.47177302509201,6.59077593169164,6.98733453854739,6.46349748494214,6.69467329076536,6.70022470824249,6.63718103868592,6.60867319351058,6.78984990603795,6.35770100378576,6.82740306120062,6.64765698596622,6.83600859027534,6.83574343692732,6.39336742729936,6.64053822723614,6.32298949948374,6.97443642317258,6.9136020152672,6.84469762101017,6.93010182552992,6.8403964578832,7.01792495217957,6.71290957475157,6.47649443200389,6.56397167291398,6.96019434200143,6.46337172905325,6.55264088928287,6.67490749928248,6.2527377679754,6.71082936128821,6.81107014789187,6.32018556830139,6.21636543999011,6.85143050245729,6.79249756549016,6.68663794237224,6.80271498446804,7.14152008137567,6.523890945088,6.68847793777103
"Pocillopora_acuta_HIv2___RNAseq.8145_t",10.6085348781977,10.3998227794029,10.5103385615558,10.6381536235255,10.2668440136532,10.006015859807,10.6687347278126,10.3438324365262,10.374230742636,11.0124411287048,10.6620717270943,10.5720052455317,9.96776429917835,10.1758945631122,10.4308856393795,11.082020017276,9.82830339498687,10.0472114055174,9.57114992596898,9.85726371738691,9.99232758531434,11.3126553975852,10.1816772096506,12.8969854498077,10.5135430867107,9.94839213524275,9.89482161083199,10.3727110273021,9.62049217867303,9.39490449871735,10.0792777612525,10.1719034829295,10.1906661323969,10.760988737365,10.9764481764454,11.1784491911269,10.1435565282345,10.0695779911039,10.0360047825636,10.8655136863253,11.0164804081775,11.6222743976429
"Pocillopora_acuta_HIv2___RNAseq.g2819.t1",9.30424740367659,9.4324132000344,9.47353154882738,9.57293141426037,9.29724361971338,9.63080349114957,9.49497561742722,9.15025189151842,9.16846782426989,9.31452007646604,8.99438423792403,9.58820602986953,9.62727383295069,9.06114037102452,9.38633243050112,9.62486903411477,9.32259163136148,9.51443123789571,9.22534362767635,9.1236530736174,9.81628239430569,9.78125609582523,9.15264391138587,9.85222337536168,9.36346954852831,9.12977563802289,9.36457208740049,9.39987072694343,9.33830697619027,9.56768432054434,9.50707962819248,9.05314294277504,9.12751855007905,9.61140919837045,9.53045856721225,9.47231264199414,9.46124530790986,9.12967841190019,9.03450036309597,10.0061407787221,9.61714720448869,9.60221560707287
"Pocillopora_acuta_HIv2___RNAseq.g2820.t1a",6.12822412898697,6.45005722239549,6.24568984601066,5.87018976267548,6.20155397612435,6.11803863272953,6.12852973692657,6.29963618431758,6.46300485459796,6.5350242739386,6.40114526884445,5.87018976267548,6.05941643190455,6.41263381724926,6.36374328649657,6.3382107672867,6.53357215713759,5.87018976267548,5.87018976267548,6.11816947945503,6.24839542832268,5.87018976267548,5.87018976267548,5.87018976267548,6.36643651709438,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.25213074221675,5.87018976267548,5.87018976267548,6.17123413409964,5.87018976267548,6.21692662690252,6.29301085521042,5.87018976267548,5.87018976267548,6.25993977627847
