"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___TS.g29244.t2b",86.9104509195079,2.18233157600023,0.3660485265595,2.26210266216122e-10,5.15356259963659e-09
"Pocillopora_acuta_HIv2___RNAseq.g11125.t1",1573.10933811941,4.14441539311911,0.307490842051183,1.34702340206101e-42,5.24530912762559e-40
"Pocillopora_acuta_HIv2___RNAseq.g11133.t1",171.24864043592,1.35710361749842,0.345378739119226,1.27918131065033e-05,0.000120302749594382
"Pocillopora_acuta_HIv2___RNAseq.g11142.t1",931.755674874523,1.27179965879651,0.229776204389841,5.71295065929803e-09,1.04935046543899e-07
"Pocillopora_acuta_HIv2___TS.g29364.t1",595.067714008273,1.56266784996165,0.234693704224629,3.75841734482037e-12,1.11654109641724e-10
"Pocillopora_acuta_HIv2___RNAseq.g11201.t1",74.3365381858108,1.22094278994235,0.463068038199642,0.00132316199389382,0.00708794777300457
"Pocillopora_acuta_HIv2___RNAseq.g11203.t1",13.0904615217873,1.3568483639445,1.01196633845143,0.0129842791092359,0.0477751255318899
"Pocillopora_acuta_HIv2___TS.g29375.t1",18229.3975920166,2.98157422182493,0.390964913125331,1.48762389268662e-15,6.67610786308351e-14
"Pocillopora_acuta_HIv2___RNAseq.g11209.t1",2359.04828707941,2.77401446754343,0.324827017670264,1.00669718654957e-18,6.3070575467218e-17
"Pocillopora_acuta_HIv2___RNAseq.g11253.t1",143.361806432029,1.69166284007432,0.660016905420242,0.000880239673235651,0.00501457266920269
"Pocillopora_acuta_HIv2___RNAseq.g11260.t2",792.816948048894,1.74789033873095,0.251753800096511,4.42888380605222e-13,1.45773053335485e-11
"Pocillopora_acuta_HIv2___RNAseq.g11275.t1",1515.71519485005,1.08335759056016,0.351130851082668,0.00043060858256285,0.00268517709614395
"Pocillopora_acuta_HIv2___TS.g29447.t1b",152.904408546318,1.16516410916912,0.53928885156188,0.00476233950068953,0.0209816492779726
"Pocillopora_acuta_HIv2___TS.g29485.t1",20.7431951112111,3.38457157567443,1.18815612109631,0.000207222982343827,0.00142102977678261
"Pocillopora_acuta_HIv2___TS.g29489.t1",28.2865032323137,2.19827362799249,0.749656862498125,0.000216224435395463,0.00147436871882935
"Pocillopora_acuta_HIv2___TS.g21274.t1",9.18038852784634,2.58000790259782,1.77102237889781,0.0042883802977142,0.0192862817546986
"Pocillopora_acuta_HIv2___RNAseq.g25132.t1",7.69731047714462,2.77658969034883,1.7918384490481,0.00413525664873133,0.0186972992204428
"Pocillopora_acuta_HIv2___RNAseq.g25183.t1",6.61280514387809,6.12719334519901,2.91542964042022,0.00018457545772269,0.00128628563062197
"Pocillopora_acuta_HIv2___RNAseq.g24640.t1",4800.65786037764,1.45348244615387,0.171521678136224,3.75270181541021e-18,2.19871841782055e-16
"Pocillopora_acuta_HIv2___RNAseq.g24660.t1",2919.33647212797,2.00078366695397,0.161396183268194,2.86393813224053e-36,7.24891380651402e-34
"Pocillopora_acuta_HIv2___RNAseq.g24661.t1",144.295576667204,2.76208716494617,0.359033455337508,1.02811776155252e-15,4.72281100955639e-14
"Pocillopora_acuta_HIv2___TS.g21061.t1",99.634955056989,3.10059776670592,0.430500506955262,4.44281468685595e-14,1.65370709616192e-12
"Pocillopora_acuta_HIv2___RNAseq.g24687.t1",1689.89007264688,1.91292260631218,0.199637431038778,1.02265327689772e-22,8.8949749455526e-21
"Pocillopora_acuta_HIv2___TS.g21127.t1a",29.5728408085093,3.0799033099037,0.648326094327463,1.38877332926133e-07,1.96266006348038e-06
