Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Pocillopora_acuta_HIv2___RNAseq.g12100.t1	0.00107026626325578	0.00504146025051651	-361.118183755169	-371.297343834828	17	12	5732.5986793369	0	0	0	0	0.00383525887015293	0.0125146624176901	0.000986230441069447	0.00412821563265963	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12101.t1	0.904108869773745	1	-100.527145653594	-101.315260326861	17	12	3.06181220705929	0	0	0	0	0.133673216619149	0.246457185995841	0.229734610391859	0.448821241689948	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12102.t1	0.0002767045191409	0.0015591752030755	-239.569410248655	-251.294965267228	17	12	454.981144961291	0	0	0	0	4.72320705364452e-09	5.00514005895336e-08	0.110060687449521	0.248031029512137	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3070.t1	0.697539561602819	0.948960691001311	-235.08500754144	-236.592940756204	17	12	566.456406738851	0	0	0	0	0.386118935687367	0.556179337487817	0.0837625025254135	0.198084338365223	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12104.t1	0.283847126288564	0.501875111101346	-61.125716090155	-64.2441559887316	17	12	0.975265962165862	0	0	0	0	0.0302134422098041	0.0732226520430328	0.612187603704368	0.929125048256764	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3072.t1	0.000281924648215481	0.00158503835378972	-198.428808844475	-210.133182965629	17	12	50.2459739040458	0	0	0	0	0.00172873630537292	0.00625353730027027	0.0201491879607734	0.0588904215239338	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12106.t1	0.00553106270296407	0.0206527247525503	-247.851780633968	-256.106390643568	17	12	353.385293955343	0	0	0	0	1.4280986483144e-09	1.60880989944489e-08	0.817917675064309	1	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12107.t1	0.0450438031156473	0.116969710723648	-299.838633455523	-305.508533505577	17	12	2594.37869830592	0	0	0	0	1.928610312824e-10	2.4736701759893e-09	0.997220647948581	1	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3075.t1	0.0716412339306655	0.170033058413869	-202.622693283602	-207.687567919382	17	12	97.1733696409723	0	0	0	0	0.0254726784261831	0.063518585053475	0.792911013614191	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12109.t1	0.0575307346080468	0.142422899718715	-155.197528909183	-160.550534837881	17	12	22.4591292682948	0	0	0	0	0.0148705922177226	0.0401893501505209	0.123613561205946	0.27318814273546	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12110.t1	0.134145240257224	0.28044495365496	-173.494480392751	-177.708758338006	17	12	45.4365551255846	0	0	0	0	0.187768202556764	0.322181156015869	0.00288195716453498	0.0107300107606299	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3078.t1	0.47474616175937	0.731758894887527	-230.683970431336	-232.953230560417	17	12	586.219931931468	0	0	0	0	0.102722994518428	0.199214752253319	0.248413214411994	0.477522981589425	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12113.t1	0.358325863215899	0.597506743569028	-136.662795576605	-139.411063610028	17	12	31.061140251399	0	0	0	0	0.172544078750551	0.301562144992	0.107603474775666	0.243576137775826	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12114.t1	0.5201223498427	0.780071865015831	-153.871298763239	-155.974412888629	17	12	39.2143159582028	0	0	0	0	0.020758783875373	0.0533452319633051	0.879898696345697	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12115.t1	0.000848696103591051	0.00411861206084225	-230.61545364304	-241.061881929639	17	12	330.55369167234	0	0	0	0	0.024785765190916	0.0620396968466762	0.614258766067354	0.93124677550172	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12116.t1	3.16175955863995e-34	1.07215621887364e-31	-211.479448413984	-294.986840838104	17	12	318.90599828407	0	0	0	0	0.151432064881608	0.272020696275635	2.60586362122373e-74	2.24699897395806e-71	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12117.t1	7.02622342171876e-30	1.61871315166009e-27	-296.691280320674	-369.996847318002	17	12	2239.56798134238	0	0	0	0	0.000888577937937198	0.00347149283714494	2.25846915971995e-53	7.0268659010668e-51	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___TS.g3084.t1	0.000435400166558885	0.00231344665963858	-328.362702021192	-339.573154151063	17	12	2209.68103848984	0	0	0	0	0.000429671825734196	0.00182460893494555	0.234293288045797	0.455868186011356	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3085.t1a	0.120884217991449	0.25812124656728	-334.025756189265	-338.384420268476	17	12	1924.44522162289	0	0	0	0	0.0941970012796366	0.18608794256853	0.0771858438206401	0.185025319023584	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3085.t1b	0.575892140893693	0.837167034929515	-255.16385672027	-257.072903145098	17	12	728.548406561411	0	0	0	0	0.292291331807598	0.451589658746458	0.00295194754839722	0.0109569172447867	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3086.t1	0.762596694543435	1	-231.921009905066	-233.21695622905	17	12	273.751743843509	0	0	0	0	0.155147212130118	0.277307839033875	0.647512289374864	0.962040116838152	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12119.t3	0.851749589859807	1	-265.680334059886	-266.670900022507	17	12	2048.12030352854	0	0	0	0	0.997366878822239	1	0.0116598075006915	0.0367052248222457	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12120.t1	0.000201980657109904	0.00118364587020911	-256.043540211162	-268.125145954252	17	12	916.999073483229	0	0	0	0	0.497060783577843	0.668834742894436	2.93293390542468e-08	2.85627445194311e-07	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12121.t1	0.00204233177139645	0.00882680407571885	-252.804583084988	-262.233831084647	17	12	1626.86562675838	0	0	0	0	0.000159287045862782	0.000746472522381794	0.711956261055891	1	TRUE	FALSE	FALSE
