"","MEdarkmagenta","MEgrey60","MEivory","MEorangered4","MEsienna3","MEdarkturquoise","MEfloralwhite","MEyellow","MEpurple","MEturquoise","MEroyalblue","MElightsteelblue1","MEdarkorange","MEsteelblue","MEdarkgreen","MEtan","MEorange","MEsalmon","MEdarkolivegreen","MElightcyan","MEmagenta","MEbrown","MEred","MEblack","MEdarkgrey","MEplum1","MEviolet","MEgreenyellow","MEpaleturquoise","MEsaddlebrown","MEskyblue","MEwhite","MEyellowgreen","MElightyellow","MEpink","MEdarkred","MElightcyan1","MEcyan","MElightgreen"
"POR_R1_H2",0.0611285596605144,0.224890449591828,0.223646771300253,0.117972093062184,0.184910944579462,-0.101337197057314,-0.141843372764684,0.132587495327795,0.0429510784768465,0.128797083781793,-0.078262627882214,0.0181522995143778,-0.139047474264671,-0.108969739145039,-0.146053586729219,-0.159024659446834,-0.0592613284200233,0.0414060146083461,-0.0921197344686792,0.0505394361380325,-0.0565949319061287,-0.0579837080981986,-0.111769622170013,0.0369229031263898,0.118129255830174,0.029836288338654,0.217752170519754,0.286161575168887,0.192861456716664,-0.264129303970776,-0.228932704075597,0.131467932944977,-0.0594924304310354,-0.155653725106965,-0.104865849441193,-0.15527532546774,-0.0953832716260322,-0.121008111103532,-0.139206273520364
"POR_R1_H3",-0.0215627399616364,0.0527150570244155,-0.0166820227623424,0.096456703357656,0.168591350089885,-0.0820483264955302,-0.111985718495029,0.0618334310752586,0.0697048412581133,0.0958714297331662,-0.0294241905707571,0.137266653519331,-0.0644489902788966,-0.0471999365972804,-0.0551368747293319,-0.0786850951063613,0.0226118146016076,0.0488520516306053,-0.00191944536323688,0.0893217219730029,0.0252096765486622,0.0923197841675064,0.0733685670711047,0.0513266547988968,0.0749132914719874,0.0997244126781713,0.276674070181303,0.38715806247639,0.30972541106207,-0.222982504500204,-0.16514445005339,0.223946637499139,0.0833540619196551,-0.10210227758418,-0.034791562630952,-0.111527882002459,-0.0734630759873363,-0.0336357743715972,-0.0576536349403609
"POR_R3_C1",0.0722790389851911,-0.082711841721177,0.0415748493184807,0.115034678303625,0.0278641086810293,0.229911338693423,0.167163215493996,0.145281878608205,0.161577071714122,0.165744684946936,-0.0412900632366,-0.0306277624919438,-0.133857169609901,-0.0950886911890721,-0.0434642468655851,-0.117613877685123,0.000241268901352632,0.0913384866876825,-0.00743356862174375,0.0850042777061038,-0.0226913532705095,0.062172803192802,-0.0178372174779383,0.0784662555643135,0.109752486858917,0.00191762765634002,-0.11364289904787,-0.0941360370492053,-0.0209238690201584,0.131736663121795,0.0475107015003392,-0.159363338235072,-0.159381670892461,-0.106454160077591,-0.0979576985869952,-0.131643864364094,-0.119162339735057,-0.117320083199098,-0.0986021376396286
"POR_R3_C2",-0.304479043264376,0.115094337368448,-0.168537780430499,0.0614651301926137,0.216105920643818,-0.0991691955355187,-0.120374595813954,-0.194334552139431,-0.119508719330956,-0.0925577558614013,-0.0724055399667632,0.402523288107671,0.330515662031657,0.3793072852707,0.177090935949422,0.262187165433402,0.290699369770608,0.0849151313322085,0.146247475408993,0.0392674162559127,0.139272696736951,0.0619653376433575,0.19466007770998,-0.0462196470622292,-0.0564377934163251,0.0601716727986314,0.13157703787667,0.330305190382085,0.203344483681957,-0.188303689660439,-0.121549975067166,0.163150383969877,0.280025951583629,-0.0586900870697202,0.00276739951369804,0.102036073503471,-0.043443763209577,-0.110740009047629,0.0098442726788767
"POR_R3_C3",0.163049640424091,0.0268189957264815,0.111427017817343,0.177215716677298,0.110674118426228,0.249186386104269,0.157565481646993,0.204777069500588,0.157510518660314,0.193530106187806,-0.0693098171046737,-0.0117754423934311,-0.140380494422302,-0.0939727771573714,-0.109822084670055,-0.16995511607367,-0.0287947388791894,0.0852789696456315,-0.103707100352129,0.0372727535847078,-0.0803737390891682,-0.0123567275119954,-0.107004680747061,0.074980718568669,0.0954113659796489,-0.045302926228107,-0.156622606237891,-0.107966436737063,-0.0554059189932868,0.158669546505647,0.0279493284274338,-0.187208007425181,-0.214823063520527,-0.124844616027429,-0.107661147298148,-0.179210961443581,-0.116308016812644,-0.137916215891855,-0.166841906744697
"POR_R3_H1",-0.110546755057604,-0.169884955121998,-0.135632289277231,-0.207732491011664,-0.127080629405331,-0.103155245548683,-0.141798772138126,-0.132517792859668,-0.087899786502301,-0.0157621930033085,-0.045769596179792,-0.125612651733555,-0.0701008733232078,-0.0201075612464752,0.249803449822328,0.14963179883224,0.0795020025715654,0.0959105650415293,0.072299688323909,-0.0688910401353484,0.0880324106266247,0.0167260030319549,0.113167856134139,-0.0591435153749835,-0.107186174126465,-0.0423264661577357,-0.0126223539250191,-0.0720817261096706,-0.0357987068293279,0.0632783548618567,0.186270122228799,0.140170912135098,0.0421055120953145,0.167318093928417,0.21971631229511,0.00163399219997217,-0.0619776478865648,0.220870333297022,0.320460076086854
"POR_R3_H2",-0.206406105040169,-0.145495893796144,-0.246210824215912,-0.0163349229536442,0.0629592812735515,-0.103450941264634,0.226773562252709,-0.149703384900428,-0.0716440114337088,0.0227109275245191,0.419308937288219,-0.0816584555217606,-0.0884362390520247,-0.0122781731188696,0.365823291471584,0.217516787617949,0.146699027352616,0.238579589891908,0.180395529383516,-0.0320178177011597,0.157153510830466,0.0924773604920971,0.227501053393976,-0.0724307039342624,-0.0958744925229774,-0.0474112517340926,0.221457540341011,-0.0207431383380469,-0.022229387218391,-0.0134264305532497,0.0370642307747815,0.0857058695497146,0.0675720496172461,0.228031934184082,-0.0755700107084036,0.0257040375293681,-0.0815187965968035,0.289766401403615,0.453127766587221
"POR_R3_H3",-0.0551065496874824,-0.0674024624377391,-0.0590378555822767,0.144643893917967,0.0624387932703792,0.182540551519015,0.186566131448479,-0.0483520141904428,-0.0524776706871912,0.0485381793596953,-0.0557821383002032,-0.0435439085134231,-0.0921994914365622,-0.033348628684826,0.267176952673273,0.112738903328602,0.0560957016512234,0.135283816764341,0.00680327945377915,-0.0907842781773396,0.0441765042404288,-0.0297661362125783,0.0583276673740863,-0.0549058078670817,-0.0935009249053442,-0.137085483823833,-0.149168833478584,-0.099063161558076,-0.0954038372317703,0.132437055506295,0.129223149481021,-0.192634063761695,-0.184627174259408,-0.105181496893735,-0.0978830602884879,-0.00277307901412945,-0.0550723100976267,0.207418766341476,0.293073785345233
"POR_R12_C1",-0.134169200506156,0.0487315130934001,0.0614339927921795,0.121435853210833,0.0736799720140683,0.158357789029579,0.139125210802573,-0.077141976632575,-0.105468917602819,-0.0160676921948898,-0.0948894067106037,0.167982052793362,0.180202060091353,0.263078671863068,0.147716835283136,0.152398344606196,0.181195049142286,0.087619376300592,-0.0375848971366877,-0.081665016658653,-0.0254728875599278,-0.123405957343532,-0.0761539376699593,-0.0495141652490964,-0.0791676410278071,-0.162846897667946,-0.169030039717119,-0.130917572454804,-0.198629043296024,0.0853515807858525,0.00553309189302381,-0.237617202817052,-0.162596598528291,-0.171207689971524,-0.134204706710063,0.0622743297039395,-0.0759404110758944,-0.157529275353856,-0.0360754083356566
"POR_R12_C2",-0.0809333738074024,-0.139088284648445,-0.120855481347937,-0.208963260480825,-0.15633941776118,-0.0970917016790081,-0.150467625519056,-0.0647534943283961,0.01209367626767,-0.105553971875599,-0.0574841365848668,0.00914360623714033,0.243787410351822,0.15215389666549,0.00629689191898827,0.0638274776182812,0.0530561612315141,-0.0108024016368022,0.0584823279876458,0.0681036453635539,0.0532793999908482,0.0887005796567713,0.0802805108477723,0.0397973186152035,0.0163835678519432,0.0708000571120305,-0.00712184777274101,-0.0566929111763783,0.0345879667884914,0.0427590179195079,0.115902422484499,0.130392681450605,0.142553020422534,0.167142979857928,0.221208274087636,0.127110251807873,0.082241772525914,-0.0430962679308097,-0.0224505490953265
