Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
run-2-MON_R72_C1_S20_R1_trim	run-2-MON_R72_C1_S20_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5245578.0	707 Mbp	0.0	20-141	42.0	64.05557916286429	134.7869327269559	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R72_C1_S20_R2_trim	run-2-MON_R72_C1_S20_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5245578.0	706.9 Mbp	0.0	20-141	43.0	70.00088356935605	134.77285000814018	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R72_C2_S33_R1_trim	run-2-MON_R72_C2_S33_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3905048.0	528.6 Mbp	0.0	20-141	42.0	71.79009954968502	135.3714901839875	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R72_C2_S33_R2_trim	run-2-MON_R72_C2_S33_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3905048.0	528.6 Mbp	0.0	20-141	42.0	77.59046338410937	135.35752748749823	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R72_C3_S56_R1_trim	run-2-MON_R72_C3_S56_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12996093.0	1.7 Gbp	0.0	20-141	42.0	49.15373780347296	136.93655716375682	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
run-2-MON_R72_C3_S56_R2_trim	run-2-MON_R72_C3_S56_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12996093.0	1.7 Gbp	0.0	20-141	42.0	62.151909573840236	136.92635371261193	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R72_H2_S14_R1_trim	run-2-MON_R72_H2_S14_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6792912.0	902.5 Mbp	0.0	20-141	45.0	39.724454386119376	132.85706719003574	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
run-2-MON_R72_H2_S14_R2_trim	run-2-MON_R72_H2_S14_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6792912.0	902.6 Mbp	0.0	20-141	45.0	43.43749584302361	132.87557957470963	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
run-2-MON_R72_H3_S28_R1_trim	run-2-MON_R72_H3_S28_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4087754.0	547.8 Mbp	0.0	20-141	42.0	69.71465947681469	134.02063211240207	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R72_H3_S28_R2_trim	run-2-MON_R72_H3_S28_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4087754.0	547.8 Mbp	0.0	20-141	42.0	75.88666239276796	134.00482563285365	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R0_C1_S38_R1_trim	run-2-POC_R0_C1_S38_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4376795.0	593.7 Mbp	0.0	20-141	42.0	66.33132304805866	135.64181255919002	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R0_C1_S38_R2_trim	run-2-POC_R0_C1_S38_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4376795.0	593.6 Mbp	0.0	20-141	42.0	73.14729373431092	135.63405048671459	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R0_C2_S27_R1_trim	run-2-POC_R0_C2_S27_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4763229.0	643.3 Mbp	0.0	20-141	42.0	64.62632937974477	135.05523689917072	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R0_C2_S27_R2_trim	run-2-POC_R0_C2_S27_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4763229.0	643.2 Mbp	0.0	20-141	43.0	70.08919478182969	135.04684721225874	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R0_C3_S12_R1_trim	run-2-POC_R0_C3_S12_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5110035.0	691 Mbp	0.0	20-141	43.0	61.93351274352785	135.2291379608946	pass	pass	fail	pass	pass	pass	pass	warn	warn	warn	pass
run-2-POC_R0_C3_S12_R2_trim	run-2-POC_R0_C3_S12_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5110035.0	690.9 Mbp	0.0	20-141	43.0	66.67042456054969	135.21766191425303	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R0_H1_S36_R1_trim	run-2-POC_R0_H1_S36_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4244948.0	575.3 Mbp	0.0	20-141	42.0	67.4402007893046	135.52430654038636	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R0_H1_S36_R2_trim	run-2-POC_R0_H1_S36_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4244948.0	575.2 Mbp	0.0	20-141	43.0	73.0420112580795	135.5152216234451	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R120_C1_S18_R1_trim	run-2-POC_R120_C1_S18_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3455713.0	466.8 Mbp	0.0	20-141	42.0	69.29367509549593	135.09843323215787	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_C1_S18_R2_trim	run-2-POC_R120_C1_S18_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3455713.0	466.8 Mbp	0.0	20-141	43.0	73.9882905173387	135.08831549379246	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R120_C2_S44_R1_trim	run-2-POC_R120_C2_S44_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3758926.0	509.3 Mbp	0.0	20-141	42.0	68.47469808355775	135.50640661720928	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_C2_S44_R2_trim	run-2-POC_R120_C2_S44_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3758926.0	509.3 Mbp	0.0	20-141	42.0	74.37317872421593	135.49936284992043	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
