FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4323,POR_R72_C2,20250628,72,Control,Tank_4,3002,,,,,,,
IMG_4324,POR_S72_C2,20250628,72,Control,Tank_4,1174,,,,,,,
IMG_4325,POR_P72_C3,20250628,72,Control,Tank_6,1223,,,,,,,
IMG_4326,POR_R72_C3,20250628,72,Control,Tank_6,1125,,,,,,,
IMG_4327,POR_S72_C3,20250628,72,Control,Tank_6,1234,,,,,,,
IMG_4329,POR_P72_H1,20250628,72,Heat,Tank_2,1495,,,,,,,
IMG_4330,POR_R72_H1,20250628,72,Heat,Tank_2,1242,,,,,,,
IMG_4331,POR_S72_H1,20250628,72,Heat,Tank_2,2404,,,,,,,
IMG_4332,POR_P72_H2,20250628,72,Heat,Tank_3,1470,,,,,,,
IMG_4333,POR_R72_H2,20250628,72,Heat,Tank_3,1128,,,,,,,
IMG_4335,POR_S72_H2,20250628,72,Heat,Tank_3,1150,,,,,,,
IMG_4336,POR_P72_H3,20250628,72,Heat,Tank_5,2372,,,,,,,
IMG_4338,POR_R72_H3,20250628,72,Heat,Tank_5,1734,,,,,,,
IMG_4339,POR_S72_H3,20250628,72,Heat,Tank_5,1450,,,,,,,
IMG_4342,POR_P120_C1,20250630,120,Control,Tank_1,1771,,,,,,,
IMG_4343,POR_R120_C1,20250630,120,Control,Tank_1,1177,,,,,,,
IMG_4344,POR_S120_C1,20250630,120,Control,Tank_1,1322,,,,,,,
IMG_4345,POR_P120_C2,20250630,120,Control,Tank_4,1473,,,,,,,
IMG_4346,POR_R120_C2,20250630,120,Control,Tank_4,1315,,,,,,,
IMG_4347,POR_S120_C2,20250630,120,Control,Tank_4,1537,,,,,,,
IMG_4348,POR_P120_C3,20250630,120,Control,Tank_6,1133,,,,,,,
IMG_4349,POR_R120_C3,20250630,120,Control,Tank_6,1067,,,,,,,
IMG_4350,POR_S120_C3,20250630,120,Control,Tank_6,1557,,,,,,,
IMG_4351,POR_P120_H1,20250630,120,Heat,Tank_2,2730,,,,,,,
IMG_4352,POR_R120_H1,20250630,120,Heat,Tank_2,1478,,,,,,,
IMG_4353,POR_S120_H1,20250630,120,Heat,Tank_2,1189,,,,,,,
IMG_4354,POR_P120_H2,20250630,120,Heat,Tank_3,1761,,,,,,,
IMG_4355,POR_R120_H2,20250630,120,Heat,Tank_3,1533,,,,,,,
IMG_4356,POR_S120_H2,20250630,120,Heat,Tank_3,1336,,,,,,,
IMG_4357,POR_P120_H3,20250630,120,Heat,Tank_5,1615,,,,,,,
IMG_4358,POR_R120_H3,20250630,120,Heat,Tank_5,1614,,,,,,,
IMG_4359,POR_S120_H3,20250630,120,Heat,Tank_5,1474,,,,,,,
IMG_4360,POR_PAM_1281,20250630,120,Control,Tank_1,1281,,,,,,,
IMG_4361,POR_PAM_1626,20250630,120,Control,Tank_1,1626,,,,,,,
IMG_4362,POR_PAM_1102,20250630,120,Control,Tank_4,1102,,,,,,,
IMG_4363,POR_PAM_1130,20250630,120,Control,Tank_4,1130,,,,,,,
IMG_4364,POR_PAM_1043,20250630,120,Control,Tank_6,1043,,,,,,,
IMG_4365,POR_PAM_1337,20250630,120,Control,Tank_6,1337,,,,,,,
IMG_4366,POR_PAM_1122,20250630,120,Heat,Tank_2,1122,,,,,,,
IMG_4367,POR_PAM_1244,20250630,120,Heat,Tank_2,1244,,,,,,,
IMG_4368,POR_PAM_1065,20250630,120,Heat,Tank_3,1065,,,,,,,
IMG_4369,POR_PAM_1555,20250630,120,Heat,Tank_3,1555,,,,,,,
IMG_4370,POR_PAM_1575,20250630,120,Heat,Tank_5,1575,,,,,,,
IMG_4371,POR_PAM_1209,20250630,120,Heat,Tank_5,1209,,,,,,,
