sample,classification,percent_reads
POR_R72_C1,unclassified,43.35
POR_R72_C1,Bacteria,56.58
POR_R72_C2,unclassified,56.17
POR_R72_C2,Bacteria,43.74
POR_R72_C3,unclassified,55.56
POR_R72_C3,Bacteria,44.33
POR_R72_H1,unclassified,30.43
POR_R72_H1,Bacteria,69.53
POR_R72_H2,unclassified,34.13
POR_R72_H2,Bacteria,65.75
POR_R72_H3,unclassified,75.28
POR_R72_H3,Bacteria,24.57
