"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Porites_compressa_HIv1___RNAseq.g31140.t1",0.00453447644447427,0.0339437975311948,-246.45027511321,-254.941166472957,17,12,376.040175836081,0,0,0,0,0.870336895404813,1,1.23917338655751e-05,0.00022270849382346,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8568.t1",1.23226339845502e-07,6.25989806415149e-06,-200.029376112752,-220.236245301606,17,12,121.30699240476,0,0,0,0,1,1,2.24669037251742e-12,1.87325135972898e-10,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g19037.t1",0.000123864271977205,0.00199256516574249,-214.61615309351,-227.248426223006,17,12,169.780729653271,0,0,0,0,0.983990095468016,1,4.2140352587704e-08,1.42904605052944e-06,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8570.t1",0.00346352957089156,0.0275242092850136,-166.088592470735,-174.898195337808,17,12,44.8555889916263,0,0,0,0,0.0199614144012072,0.113137296873637,1.42968546677893e-05,0.000251648262472873,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g18972.t1",0.0014523161061052,0.0139884811485583,-231.137082005656,-240.963021363078,17,12,249.263372722229,0,0,0,0,0.000111513089674094,0.00205130601504086,9.75897061813e-06,0.000181256929340319,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8516.t1",0.00411904520003588,0.0316470071318462,-144.293252168227,-152.898030474023,17,12,27.7804800279526,0,0,0,0,0.0110651394003658,0.0727197321044604,1.28209367943789e-05,0.000229351447650675,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8546.t1",0.000516816702493251,0.00626485076088058,-112.67500026091,-123.689890759119,17,12,39.0316557964812,0,0,0,0,0.845847528392833,1,5.66051920832741e-05,0.000840834832363244,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8365.t1",0.00678310191614621,0.0464238206445167,-289.090671552129,-297.101396088677,17,12,3060.43176575807,0,0,0,0,0.00761962396003179,0.0548504236792529,0.108153098041789,0.415641675580639,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8368.t1",0.00216293385465649,0.0191057496686999,-224.546689238773,-233.908939534593,17,12,240.563476425568,0,0,0,0,0.00648276007445283,0.0483546829824123,0.0070785939706928,0.049632372389224,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8371.t1",0.000476581967066117,0.00586423636986007,-281.111659806058,-292.219066771095,17,12,473.337183231965,0,0,0,0,1.09630728091668e-06,4.83609136921429e-05,0.96725617194936,1,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___TS.g18859.t1",0.0023889522136583,0.0206504109088687,-183.372401784358,-192.618418374544,17,12,45.1584092743131,0,0,0,0,0.821877917190755,1,6.30755118758981e-08,2.04843199194597e-06,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8377.t1",0.00185834322858784,0.0169985442855373,-199.983426971137,-209.522763913619,17,12,67.9289101874705,0,0,0,0,0.00750470013957259,0.0542062653772443,0.0255358469108153,0.138764787817712,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8379.t1",0.000376947096330338,0.00485311478101838,-293.927906289275,-305.302482947738,17,12,2299.78533783596,0,0,0,0,0.11858714103304,0.38907538128154,9.40603855874426e-05,0.00130332081966068,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8382.t1b",0.000206061552624061,0.00299480287584055,-190.214931319752,-202.273949116137,17,12,99.3118253979529,0,0,0,0,0.000355635194136707,0.00523810761748052,9.52572035652214e-05,0.00131752426452957,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8393.t1",0.00344213301554521,0.0273982366339286,-232.024421732701,-240.841333022737,17,12,425.790079698763,0,0,0,0,0.0275800212149432,0.142729213564999,0.0206474955400845,0.116974009445259,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8394.t1",0.00230180228705528,0.0200598329738056,-163.114303534542,-172.403806638021,17,12,49.6952585431027,0,0,0,0,0.0809946963005019,0.300200094888814,1.56349457362065e-06,3.59725680123854e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8395.t1",0.00319061218344536,0.0259335770901362,-239.986079628507,-248.892402766634,17,12,279.360071271644,0,0,0,0,0.989997173015882,1,2.0728055140266e-05,0.000350995067041838,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g8399.t1",5.91494800555845e-07,2.35823197302691e-05,-239.053212816673,-257.566776408822,17,12,143.643805828425,0,0,0,0,1.52497893591713e-10,2.34895751438416e-08,0.126927797233327,0.467140463839499,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g8400.t1",0.000146045503018685,0.00225682079886327,-241.301430703841,-253.748508806071,17,12,233.690880250723,0,0,0,0,0.000260506286317229,0.0040948598792668,0.13280319827916,0.482753660013164,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8401.t1",0.00201396429994458,0.0181095183244254,-215.192305830618,-224.637876421013,17,12,476.513617878027,0,0,0,0,0.58426539696569,0.990449283324732,0.000131626160797487,0.00175108906390109,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8446.t1",0.00538175649616812,0.0388365243544413,-153.787457139996,-162.074679676222,17,12,620.459049345823,0,0,0,0,1,1,0.0159409784157283,0.0953787178829678,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8450.t1",0.00146698968367227,0.0140873637771206,-202.794173235937,-212.608449473771,17,12,1901.1187205124,0,0,0,0,0.530952095494036,0.951071801705213,0.0158143778194814,0.0948022267721775,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g18929.t1a",0.000449032068374917,0.00559706725721533,-172.180786618746,-183.356101262665,17,12,729.575895388053,0,0,0,0,0.407569426504487,0.833835695532783,0.0573846993217702,0.259942453972738,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8454.t1",6.58525034480105e-05,0.0011824470586353,-310.651803601022,-323.991550627373,17,12,1066.43478339196,0,0,0,0,0.433359652080257,0.862402121926332,0.000114092919494863,0.00153864973076863,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g18933.t1",0.00366944232825281,0.0287984020989991,-156.27956736587,-165.021012463793,17,12,93.8193969919321,0,0,0,0,1,1,0.0309928116581808,0.161485979939936,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8464.t1",1.61632461310501e-08,1.08949937101985e-06,-278.217941666876,-300.602580114991,17,12,1220.05786906134,0,0,0,0,4.17616170530944e-15,1.88438242406398e-12,0.630560682472179,1,TRUE,FALSE,FALSE,"Transient"
