"","POR_R0_C1","POR_R0_C2","POR_R0_C3","POR_R0_H1","POR_R0_H2","POR_R0_H3","POR_R1_C1","POR_R1_C2","POR_R1_C3","POR_R1_H1","POR_R1_H2","POR_R1_H3","POR_R3_C1","POR_R3_C2","POR_R3_C3","POR_R3_H1","POR_R3_H2","POR_R3_H3","POR_R12_C1","POR_R12_C2","POR_R12_C3","POR_R12_H1","POR_R12_H2","POR_R12_H3","POR_R24_C1","POR_R24_C2","POR_R24_C3","POR_R24_H2","POR_R24_H3","POR_R72_C1","POR_R72_C2","POR_R72_C3","POR_R72_H3","POR_R120_C1","POR_R120_C2","POR_R120_C3","POR_R120_H1","POR_R120_H2","POR_R120_H3"
"Porites_compressa_HIv1___RNAseq.g4336.t1",14.0040648845539,14.2699027511383,13.3839015500706,13.6621026524591,13.8812130263944,13.6082360248148,14.0668016510495,13.1027890670665,13.5181978892989,14.598652964773,14.6781128559678,13.9099582907293,13.3365246475517,14.1228538332884,13.6332564412668,13.6767967688158,13.2059190621122,13.7959465755347,14.4115912750619,13.4707205995447,14.0176579925134,13.1418401906981,13.3941214143844,13.4221684401232,13.061329934215,13.8780739386003,14.5179101415643,13.6297194144251,13.2996789234979,13.7503813755933,13.0504606936433,13.704991419752,13.6860319739341,14.3080596193394,13.2913893704937,14.1672993253323,13.64301112972,13.4727573638591,13.9812433328501
"Porites_compressa_HIv1___TS.g7618.t1",10.5508040135306,10.3976528170666,10.6468197799736,10.1917117910547,10.2771012158642,10.4236484013823,9.99358240796876,10.4193901826813,10.5329025138752,10.2751455573708,9.7897592249956,9.73226583700439,10.2495489584681,10.4253046744614,10.1683824230395,10.7474779805151,10.912006007297,10.8142127821812,10.9995432486929,10.9309161285852,10.1647955578959,11.3011944027394,11.3225616065601,11.3912967612119,10.2906626947355,10.0007344985854,10.4756005065745,10.9827735994358,11.2751508121306,10.0368040207502,10.4604812423407,10.027076458834,10.9468752281921,9.6564545017555,10.1721285701767,10.2649962902835,10.9500014247363,11.1526015602103,10.8312975318778
"Porites_compressa_HIv1___RNAseq.g4338.t1",6.96535024048121,7.09656848332333,6.9460493263802,7.54539109293061,7.20055575281076,7.77729595907207,6.99757975590119,7.7141997681334,6.44595671332815,7.49184356851498,7.00320603401262,8.11182832124963,7.60836311631787,6.5293980657497,7.1349025136288,8.90256584990827,9.33126302296541,8.35600461469127,6.72944665037997,7.84013231666585,7.70306663790261,7.97614590409876,7.31249349723462,8.25146597989584,7.73586760400793,7.62716433504355,5.95259633467598,8.46985832243172,7.50616438134952,7.7544200392658,7.84004506932837,7.82118179374679,8.20571650455959,7.84362014886097,8.26949720694616,6.81546325087238,7.87893161258965,7.3912752213107,7.72455984548472
"Porites_compressa_HIv1___RNAseq.g4339.t1",10.6117726560121,10.8746829345072,10.8265240060003,9.29839259977472,9.89431200761489,9.3920226672037,9.68761230054977,10.4276317884899,10.898415505195,9.28396278992054,9.90996161053084,10.3840833180019,9.87263949326796,10.8497802367273,10.1703556707814,10.695850037755,11.4391799915884,10.9045409458318,9.89747656010451,10.127070733869,9.49090629505102,10.3834491664365,10.1416928116537,9.96376619571805,9.83679603438945,10.1524267324341,10.4529268879902,10.0417363571804,10.3654823999671,10.3427470954057,10.3101486451909,10.4766701271229,10.1466641896295,9.42220782480316,9.63676742856399,10.1714753984269,10.2884942114842,10.2017660972609,10.1540459580875
"Porites_compressa_HIv1___TS.g7621.t1",7.11452465955891,6.79794951971245,6.48481586011434,7.13650871032743,6.5663249227676,6.84538854232773,6.79678786765765,6.93078376503748,6.58749418678095,6.96681860445819,5.95259633467598,6.80737333891392,6.81067428846627,6.60215859296779,6.34926705852014,6.7950828931917,6.60777670084371,6.50006670343884,6.4046972350793,6.67745592322472,6.38148430863738,6.63716531264503,5.95259633467598,6.77129866177088,6.85028694994101,6.9680115554906,6.27808517735235,6.4288947705469,6.24574824185968,6.3728742260887,6.33082281759883,6.67997635633111,6.72158308185061,6.35514171445123,6.33678283123979,7.25734981320647,6.59678469421286,6.3617516497237,6.27527735955702
"Porites_compressa_HIv1___RNAseq.g4340.t1",6.7433437454051,6.79794951971245,6.52692446273713,7.2499615550117,6.96246368971389,6.75735410750138,5.95259633467598,7.08315399842456,6.8435163775535,6.50261666435294,7.21072553607978,7.10222967258591,6.32288180086116,6.99471827220366,7.02923311224908,6.89131853898131,7.00226421981727,6.38637545698123,6.94781540726556,6.7023485326275,5.95259633467598,6.55428155488706,6.51786485827862,6.524584371407,6.63413942247752,5.95259633467598,6.77309182053079,6.93309633961977,6.74156026070164,7.28733317814686,7.06292193962648,6.70902729416525,6.61315540417387,6.72538129327562,6.74842783161055,5.95259633467598,6.69029893794297,6.64892773412338,6.59400871943579
"Porites_compressa_HIv1___RNAseq.g4341.t1",6.65186700389085,6.51618789497263,6.60261973440721,6.18242267858314,6.30870584186732,6.79379916548033,5.95259633467598,6.40315922118992,6.58749418678095,6.2288527768453,6.54417923912193,6.74318064486986,6.35236880264824,6.57890091807685,6.27681508961581,6.7950828931917,6.39637286608308,6.53284786212132,5.95259633467598,6.44926016946473,5.95259633467598,6.55428155488706,5.95259633467598,6.54588233718893,6.20774271264972,6.25127569139545,6.59952185122214,6.38377716559745,6.73108026740252,6.4664313660485,6.58597234941896,6.37549580912266,6.29974513043416,6.77401916640595,6.79149699483326,5.95259633467598,6.47703996475617,6.47964977021648,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g4342.t1",6.14118477383315,6.42977462361211,6.54680674595405,6.41080687830333,6.36345109539683,6.48329379474839,5.95259633467598,6.63030667632233,5.95259633467598,6.67698584643308,6.54417923912193,6.96090408839195,6.25520863603687,6.57890091807685,6.18209430011305,6.23697194447497,6.54614025271738,6.34087043602611,5.95259633467598,6.19209077210196,5.95259633467598,6.18706243201544,6.206683726521,6.11219695079968,6.50600083094759,5.95259633467598,6.55836271838747,6.24064259937701,6.45862633142942,6.2503011516118,6.46351125940603,6.25216472300358,6.19836295530303,6.55401084462333,6.33678283123979,5.95259633467598,6.37789476684144,6.1644017644104,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g4343.t1",7.88160554330383,7.66865516221443,7.94746511535222,7.96744357662555,8.01223696227699,8.19226379094797,8.77315916941115,7.83858205172457,7.57170103854605,8.65692097807638,8.51904796002983,7.95217218969397,8.31097233880039,7.17790366698585,8.38989976018259,7.54898247743637,7.57906429138582,7.89152036512331,8.17184074897187,8.09848825193936,7.89636747032646,7.65503670787716,7.4968974927524,7.45628777080703,8.37835871563417,8.02797015467012,7.61552792817861,7.87313519794135,7.76180108194698,7.78298526818822,7.78047996939336,7.96093965691918,8.39162835393959,7.89197766173053,8.23681645600258,8.23988861881346,8.96061732307069,8.65043373963469,9.1261323913506
"Porites_compressa_HIv1___RNAseq.g4344.t1",14.9388928336051,14.9154152625811,13.9223077476567,14.6557466137618,14.5328765386003,14.3853259833954,15.0550397020457,14.0394533200493,14.5217745004196,15.1635083026563,15.229869322593,14.4894998096127,13.9160331946038,14.7340913649101,14.4293667775601,13.869164863753,14.2215844641861,14.2824724340195,14.9099607117552,13.8730174846237,14.5011798561755,13.5152576388099,13.919046349616,14.0756314126828,13.7069376039115,14.6016692026044,14.8812680678668,13.9190256996198,13.8647254068611,14.4824475555689,14.0352960722757,14.1011205866251,13.8884114819958,14.8164455400934,13.8469113201536,14.9410333611939,13.4353287583289,13.6566968355643,14.2312360486923
"Porites_compressa_HIv1___RNAseq.g4346.t1",8.54391494664663,8.30776686072422,8.49649338929842,8.3208777946068,8.75589189214759,8.5449552962583,8.30070269764228,8.62627243375446,8.28283991774029,8.82914965806413,8.66103254815757,8.55641938755922,8.55269078445224,8.52311947065353,8.83368605432197,9.72549082338629,9.49500464290603,9.46401373794928,8.12269456008317,8.81393487551919,8.70715246594349,9.61067101962915,9.4422356216894,9.86232369168539,8.62854004325372,8.24320781512317,8.78013280734515,9.71549792754643,9.65509092409714,8.58935822780713,8.80902843695858,8.77938179536368,9.55056626015694,8.53904749101633,8.64098794471918,8.4976192871655,9.42944440262761,9.22691473290075,9.45477824859057
"Porites_compressa_HIv1___RNAseq.g4348.t1",7.31381144866618,7.27814388312907,7.39744242027678,7.21354483647557,7.35431256339898,7.37234323796496,7.47077200378268,7.69440006648628,7.50794422097,7.21014283259032,7.55408988875289,8.01744766694542,7.58566206614064,7.71098525786488,7.39790058962519,8.55296817350614,8.30135876892596,8.13822036132728,7.16023083397693,7.97930694163688,7.63116997846868,8.24593807112432,8.2495323171136,8.49723165461022,7.59920152788237,7.30586843488573,7.50718350320981,8.18105509775756,8.18920402703163,7.65404641937041,7.5076871064879,7.56501540589193,8.44913851100223,7.35306841159221,7.34023078954875,7.0820838616557,8.04921747300183,8.23032254945885,8.18553729019592
"Porites_compressa_HIv1___RNAseq.g4350.t1",6.4833860880437,7.02110731386537,6.81380011714743,6.91097879417983,6.59899186580215,6.75735410750138,6.92295658456757,6.84318071027772,6.67478295858066,7.64666166092691,7.21072553607978,7.39414215281073,6.97055310008836,7.24251422818943,6.46363466685368,6.51863124574047,6.70282178081548,6.85132764242363,6.58940069709624,7.04255508929178,6.20082145959781,7.05153286388185,7.28641435582363,6.88117599848719,6.71029510105374,6.31807787486634,7.61552792817861,7.15046874230292,7.23025431122114,7.02361159650646,7.07267260973116,6.76374628929557,7.43036177442869,6.79718427938342,7.37423546426043,5.95259633467598,7.56609637222245,7.20661296784772,6.87931255979767
