"","MEmagenta","MElightcyan","MElightyellow","MEpurple","MEyellow","MEgrey60","MEcyan","MEbrown","MEred","MEblue","MEgreen","MEblack","MElightgreen","MEgreenyellow","MEmidnightblue","MEturquoise","MEsalmon","MEtan"
"POC_R1_H2",-0.237303966772772,0.0427239320181042,0.173863121221225,-0.0141885089805518,-0.0235484745626022,-0.0799595085333492,0.218201500123639,0.199529119788641,0.220288649568114,0.126495416666782,0.0395631717694061,-0.194282941364521,0.0439454854498049,-0.301375345004051,-0.396550417780815,-0.103276741239271,-0.0558292546988684,-0.0728460775517322
"POC_R1_H3",0.299914525737968,-0.0493436121261216,-0.122605618489399,0.0350264652968381,0.0844362020326685,-0.0464413765640687,-0.0659239959881628,-0.0310574576789501,-0.0503002859709874,-0.0018703257201682,0.0109428192050112,-0.000139169876506372,-0.0840507655007947,0.0630432219495998,0.154105146594166,-0.00680264287006985,-0.0668005435512286,-0.0884409730172192
"POC_R3_C1",-0.00102525650266625,0.288472453083497,0.334707658957088,0.290163502332289,0.0883632885850655,0.166572005791898,-0.0689971107358965,0.110654138313048,0.014925008620682,0.0315010121244843,-0.0748524600897772,-0.104888900137102,-0.191857241111753,0.0435828992875598,0.14056641986231,-0.0534547248852982,-0.0686430256186699,-0.133149793033444
"POC_R3_C2",-0.116039704572085,0.0233389095354013,0.177773789379566,0.112858539487566,-0.0501576054647527,0.0180758269126513,0.0703845163368227,0.15048097281661,0.165974053041249,0.0879706613161929,0.0267269257214977,-0.086744432341376,0.0402056562932616,-0.0972440163050585,-0.109151556113116,-0.108449266299554,0.0201200602554463,-0.0789104721251335
"POC_R3_C3",0.152413373559417,0.0235989085171233,0.0148010825531981,0.0393199939107314,-0.047260567236461,0.0323711314714804,-0.137585800878561,0.0449978579154439,-0.0468705652288241,0.0719490918804176,0.0632354887814683,0.0332128192117373,-0.0744023255284782,0.026235203751826,0.15767813722843,-0.0931854270968298,-0.0555307713641596,-0.107437351731231
"POC_R3_H1",0.23059792044635,0.0330488558372305,0.181969613997733,0.393802139375475,0.456174606344941,0.151399158177451,0.30344749323471,-0.017947005292365,0.0961180241166233,-0.279838651668608,-0.443695646280136,-0.388061410310433,-0.404120953034368,-0.0505183378315878,-0.0335092957299443,0.283715820449956,-0.135722960386351,-0.00827191770224882
"POC_R3_H2",0.109364248245359,-0.0516106384742148,0.241817690466138,0.438824405887368,0.4508575023358,0.21271267338657,0.250689443964449,0.0151469794066308,0.0818851435512797,-0.311770986793086,-0.484025761535515,-0.490540675123269,-0.319266130267037,-0.0849003930577225,-0.177210935533441,0.309465273803853,-0.0339234571350185,0.0699340175450834
"POC_R3_H3",0.201496793583417,0.299054540888127,0.319656578668872,0.488447027296801,0.520546026105027,-0.0100045346069249,0.0907809987488852,-0.0521390308742693,-0.04717621738354,-0.276123563126877,-0.428399419156523,-0.324873560775433,-0.372732794167958,0.0644466373143751,0.163572906979725,0.31262005019481,-0.0995623749482955,0.020298136630608
"POC_R12_C1",-0.181081911796543,0.0310966885699514,0.0736937127000193,-0.0272845752487663,-0.0767305787119252,-0.00411759593612583,0.125561361188856,0.109386739188902,0.147009468549751,0.089316144452615,0.0642248711457446,-0.0330570578247025,0.00632976821684143,-0.121691493693216,-0.100068420826422,-0.104511226498012,-0.0100052571970636,-0.0684190384584827
"POC_R12_C2",-0.191280834122443,0.0751984859576521,0.0518127040514614,-0.098924079881259,-0.113436226613802,-0.0734871151714135,0.0354060467460567,0.106979510665339,0.0897477822763448,0.132491934529868,0.134643288167794,0.0380374276342575,0.0505004043258874,-0.117911301156619,-0.0796670114262884,-0.135275387778675,-0.0618401976216595,-0.0991220833610221
"POC_R12_C3",-0.122794940695061,0.241217187377372,0.0316407065789916,-0.0510692712912975,-0.0322143995172827,0.0148936628980067,-0.193093686898133,-0.0233753650908454,-0.206896347244306,0.0680507463974109,0.0876050354395234,0.114914014713207,-0.138225460295666,0.0455708420333183,0.162050537461319,-0.0762230173463417,-0.18339857211122,-0.138756842817344
"POC_R12_H1",-0.0896645374445026,0.221618500040021,0.147808688230038,0.172911768129538,0.246341777846988,0.207461747625952,0.0501076440108112,-0.189604259853795,-0.112654462116172,-0.317620952594227,-0.314630656322893,0.0538017218219938,-0.2479035958025,0.364852291840879,0.267324467790754,0.244847201363968,-0.23429995848856,0.0213998358212165
"POC_R12_H2",-0.22363654009722,0.0836730128228699,-0.0709043014264001,-0.0766167571566009,0.0703915370348349,0.0831265945755742,-0.0465181555628171,-0.209860226205222,-0.172180859916603,-0.211493307850638,-0.0550795148314819,0.232467495252875,0.0345128487760296,0.28976730761657,0.0993900723030099,0.164482683406376,-0.187379594269266,0.0395120103743086
"POC_R12_H3",0.0449012391197459,-0.108821740963739,0.0197617717182225,0.072005539529231,0.178522756602115,-0.0666648844332395,0.327629626027644,-0.141033926157288,0.0309831938644603,-0.252663257303662,-0.190021960770622,0.014671173811649,-0.163749099750056,0.139837936673714,0.0205059820674108,0.205598068692754,-0.211669920132713,0.0192203210455334
