Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R24_C2	16396475.0	277.0	31269.0	0.19	236.92	8905.0	6760.0	7856.0	40.0	0.0	1009.0	3.67	0.11	1.27	0.08	1.35	21516.0	0.13	695446.0	4.24	0.0	92.54	2.9	0	15172763	475481
POC_R24_C3	22674647.0	277.0	36823.0	0.16	236.03	12714.0	9689.0	11183.0	48.0	2.0	1481.0	3.6	0.08	1.66	0.05	1.65	19143.0	0.08	233250.0	1.03	0.0	98.03	0.7	0	22226717	158714
POC_R24_H1	18977274.0	274.0	29777.0	0.16	236.81	9711.0	7515.0	8777.0	51.0	1.0	882.0	3.51	0.08	1.73	0.06	2.1	15063.0	0.08	170737.0	0.9	0.0	98.28	0.58	0	18651624	110073
POC_R24_H2	16733336.0	277.0	26388.0	0.16	236.73	8175.0	6388.0	7338.0	34.0	1.0	802.0	3.59	0.09	1.55	0.06	1.68	14476.0	0.09	252964.0	1.51	0.0	97.23	1.02	0	16268838	170670
POC_R24_H3	18033331.0	277.0	29141.0	0.16	237.75	8549.0	6514.0	7556.0	40.0	0.0	953.0	3.55	0.09	1.5	0.06	1.59	17035.0	0.09	341843.0	1.9	0.0	96.58	1.27	0	17416293	229019
POC_R3_C1	20389362.0	276.0	31736.0	0.16	233.92	12098.0	9533.0	10773.0	48.0	0.0	1277.0	3.7	0.08	1.6	0.05	1.62	16542.0	0.08	209291.0	1.03	0.0	98.03	0.71	0	19987033	144760
POC_R3_C2	18647667.0	275.0	31660.0	0.17	233.62	11291.0	8753.0	9995.0	54.0	2.0	1240.0	3.73	0.09	1.48	0.05	1.55	17145.0	0.09	364389.0	1.95	0.0	96.53	1.25	0	18001367	233106
POC_R3_C3	22206991.0	276.0	40601.0	0.18	237.11	12045.0	9259.0	10640.0	54.0	0.0	1351.0	3.66	0.11	1.25	0.07	1.31	28200.0	0.13	852495.0	3.84	0.0	93.27	2.58	0	20712747	572948
POC_R3_H1	15404553.0	278.0	25351.0	0.16	241.25	5936.0	4319.0	5131.0	45.0	1.0	759.0	3.47	0.1	1.53	0.08	1.7	14780.0	0.1	286459.0	1.86	0.0	96.56	1.32	0	14874623	203340
POC_R3_H2	31036781.0	266.0	45756.0	0.15	224.12	16166.0	12055.0	13808.0	62.0	7.0	2289.0	3.71	0.09	1.95	0.06	1.99	20555.0	0.07	32392.0	0.1	0.0	99.59	0.1	0	30907044	31034
POC_R3_H3	16987689.0	277.0	26205.0	0.15	235.2	5537.0	3961.0	4787.0	24.0	6.0	720.0	3.66	0.1	1.53	0.07	1.5	16527.0	0.1	372340.0	2.19	0.0	96.05	1.5	0	16317784	254833
POC_R72_C1	18783520.0	275.0	30043.0	0.16	234.96	11180.0	8844.0	10004.0	56.0	2.0	1118.0	3.59	0.08	1.71	0.05	1.88	15595.0	0.08	171317.0	0.91	0.0	98.24	0.6	0	18453858	112707
POC_R72_C2	23233557.0	277.0	39049.0	0.17	237.05	14198.0	10943.0	12589.0	79.0	0.0	1530.0	3.59	0.08	1.75	0.05	1.73	20308.0	0.09	235370.0	1.01	0.0	98.04	0.7	0	22776209	162621
POC_R72_C3	17855369.0	277.0	29306.0	0.16	237.73	9183.0	6984.0	8122.0	42.0	0.0	1019.0	3.56	0.09	1.55	0.06	1.64	16437.0	0.09	289771.0	1.62	0.0	97.01	1.11	0	17321659	198196
POC_R72_H1	22264917.0	277.0	37248.0	0.17	239.28	11074.0	8496.0	9833.0	68.0	3.0	1170.0	3.5	0.09	1.56	0.06	1.57	22320.0	0.1	434135.0	1.95	0.0	96.45	1.33	0	21475083	296131
POC_R72_H2	17132924.0	277.0	27900.0	0.16	239.41	8011.0	6112.0	7096.0	40.0	1.0	874.0	3.49	0.1	1.45	0.08	1.64	16994.0	0.1	379889.0	2.22	0.0	96.01	1.51	0	16449432	258709
POC_R72_H3	15415216.0	277.0	30362.0	0.2	240.53	7201.0	5471.0	6345.0	39.0	1.0	816.0	3.58	0.13	1.28	0.09	1.34	21478.0	0.14	734942.0	4.77	0.0	91.64	3.26	0	14125919	502515
