task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,phys,Tank_5,POR_P3_H3,LN2,1749,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_5,POR_R3_H3,DNA/RNA shield,1218,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,LCM,Tank_5,POR_R3_H3,PAXgene,1218,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,spatial,Tank_5,POR_S3_H3,Formalin,1094,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,phys,Tank_1,POR_P12_C1,LN2,1059,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_1,POR_R12_C1,DNA/RNA shield,2378,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_1,POR_R12_C1,PAXgene,2378,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_1,POR_S12_C1,Formalin,2757,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,phys,Tank_4,POR_P12_C2,LN2,1290,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_4,POR_R12_C2,DNA/RNA shield,1123,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_4,POR_R12_C2,PAXgene,1123,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_4,POR_S12_C2,Formalin,2380,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,phys,Tank_6,POR_P12_C3,LN2,1647,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_6,POR_R12_C3,DNA/RNA shield,2073,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_6,POR_R12_C3,PAXgene,2073,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_6,POR_S12_C3,Formalin,2738,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,phys,Tank_2,POR_P12_H1,LN2,1824,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_2,POR_R12_H1,DNA/RNA shield,1616,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_2,POR_R12_H1,PAXgene,1616,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_2,POR_S12_H1,Formalin,2008,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,phys,Tank_3,POR_P12_H2,LN2,2524,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_3,POR_R12_H2,DNA/RNA shield,1584,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_3,POR_R12_H2,PAXgene,1584,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_3,POR_S12_H2,Formalin,1613,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,phys,Tank_5,POR_P12_H3,LN2,1318,Yes,"Sampled 2nd - order messed up, make sure pictures reflect this"
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_5,POR_R12_H3,DNA/RNA shield,2376,Yes,"Sampled 3rd - order messed up, make sure pictures reflect this"
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_5,POR_R12_H3,PAXgene,1456,Yes,"Sampled 1st - order messed up, make sure pictures reflect this"
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_5,POR_S12_H3,Formalin,2376,Yes,"Sampled 3rd - order messed up, make sure pictures reflect this"
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,phys,Tank_1,POR_P24_C1,LN2,2984,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_1,POR_R24_C1,DNA/RNA shield,1298,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_1,POR_R24_C1,PAXgene,1298,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_1,POR_S24_C1,Formalin,1471,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,phys,Tank_4,POR_P24_C2,LN2,1694,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_4,POR_R24_C2,DNA/RNA shield,1254,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_4,POR_R24_C2,PAXgene,1254,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_4,POR_S24_C2,Formalin,2881,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,phys,Tank_6,POR_P24_C3,LN2,1118,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_6,POR_R24_C3,DNA/RNA shield,1140,Yes,
