Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R120_H3	17159924.0	273.0	3128223.0	18.23	274.93	3042252.0	2775883.0	3001482.0	15191.0	1075.0	24504.0	0.99	0.05	2.71	0.03	2.1	209039.0	1.22	11914100.0	69.43	0.0	10.29	0.83	0	1766106	142456
POR_R12_C1	14882175.0	274.0	1815732.0	12.2	275.18	1933264.0	1801821.0	1910953.0	9815.0	652.0	11844.0	0.94	0.04	2.57	0.03	2.04	100068.0	0.67	12045394.0	80.94	0.0	5.26	0.93	0	782611	138370
POR_R12_C2	18254907.0	276.0	8066276.0	44.19	276.56	7614676.0	7100410.0	7525796.0	39630.0	3291.0	45959.0	0.92	0.04	2.67	0.03	2.07	646854.0	3.54	6811067.0	37.31	0.0	14.55	0.41	0	2655871	74839
POR_R12_C3	15086708.0	276.0	2380284.0	15.78	276.6	2593619.0	2433887.0	2566239.0	12568.0	930.0	13882.0	0.93	0.04	2.54	0.03	2.0	111679.0	0.74	11605951.0	76.93	0.0	6.02	0.54	0	907399	81395
POR_R12_H1	18094926.0	274.0	10212680.0	56.44	275.61	8920276.0	8235411.0	8807122.0	42194.0	3923.0	67037.0	1.0	0.05	2.67	0.04	2.1	606608.0	3.35	2850248.0	15.75	0.0	23.72	0.73	0	4293262	132128
POR_R12_H2	20719114.0	276.0	11043345.0	53.3	276.52	10339018.0	9588521.0	10218023.0	53667.0	4208.0	63120.0	0.94	0.05	2.72	0.04	2.1	712621.0	3.44	5577422.0	26.92	0.0	15.69	0.65	0	3251043	134683
POR_R12_H3	20149061.0	275.0	7614557.0	37.79	276.02	6820088.0	6324658.0	6737089.0	32572.0	2690.0	47737.0	0.97	0.05	2.68	0.04	2.11	437325.0	2.17	9078888.0	45.06	0.0	14.39	0.59	0	2899413	118878
POR_R1_C1	15994188.0	273.0	1925711.0	12.04	275.09	1963771.0	1827048.0	1940821.0	9380.0	697.0	12873.0	0.97	0.04	2.6	0.03	2.05	109768.0	0.69	13014970.0	81.37	0.0	5.02	0.88	0	802978	140761
POR_R1_C2	15014549.0	275.0	4877988.0	32.49	275.97	4739976.0	4434202.0	4684889.0	21765.0	1967.0	31355.0	0.96	0.04	2.66	0.03	2.02	231725.0	1.54	7678780.0	51.14	0.0	14.28	0.54	0	2144945	81111
POR_R1_C3	16155170.0	273.0	4714305.0	29.18	275.47	4451791.0	4142907.0	4401537.0	19870.0	1588.0	28796.0	0.96	0.04	2.64	0.04	2.15	254728.0	1.58	8892900.0	55.05	0.0	13.41	0.79	0	2165656	127581
