FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4669,POC_S24_C3,20250710,24,control,Tank_6,1218,,,,,,,
IMG_4670,POC_P24_H2,20250710,24,heat,Tank_3,1157,,,,,,,
IMG_4671,POC_R24_H2,20250710,24,heat,Tank_3,1566,,,,,,,
IMG_4672,POC_S24_H2,20250710,24,heat,Tank_3,1186,,,,,,,
IMG_4673,POC_P24_C1,20250710,24,control,Tank_1,2878,,,,,,,
IMG_4674,POC_R24_C1,20250710,24,control,Tank_1,1189,,,,,,,
IMG_4675,POC_S24_C1,20250710,24,control,Tank_1,1456,,,,,,,
IMG_4677,POC_P72_C1,20250712,72,control,Tank_1,1336,,,,,,,
IMG_4680,POC_R72_C1,20250712,72,control,Tank_1,1584,,,,,,,
IMG_4683,POC_S72_C1,20250712,72,control,Tank_1,1748,,,,,,,
IMG_4685,POC_P72_C3,20250712,72,control,Tank_6,1283,,,,,,,
IMG_4689,POC_R72_C3,20250712,72,control,Tank_6,1298,,,,,,,
IMG_4691,POC_S72_C3,20250712,72,control,Tank_6,1176,,,,,,,
IMG_4693,POC_P72_H2,20250712,72,heat,Tank_3,1694,,,,,,,
IMG_4698,POC_R72_H2,20250712,72,heat,Tank_3,2738,,,,,,,
IMG_4702,POC_S72_H2,20250712,72,heat,Tank_3,2172,,,,,,,
IMG_4705,POC_P72_C2,20250712,72,control,Tank_4,2528,,,,,,,
IMG_4708,POC_R72_C2,20250712,72,control,Tank_4,2881,,,,,,,
IMG_4712,POC_S72_C2,20250712,72,control,Tank_4,3002,,,,,,,
IMG_4713,POC_P72_H1,20250712,72,heat,Tank_2,1575,,,,,,,
IMG_4715,POC_R72_H1,20250712,72,heat,Tank_2,1496,,,,,,,
IMG_4718,POC_S72_H1,20250712,72,heat,Tank_2,1247,,,,,,,
IMG_4721,POC_P72_H3,20250712,72,heat,Tank_5,1120,,,,,,,
IMG_4726,POC_R72_H3,20250712,72,heat,Tank_5,1557,,,,,,,
IMG_4728,POC_S72_H3,20250712,72,heat,Tank_5,2531,,,,,,,
IMG_4731,POC_P120_H1,20250714,120,heat,Tank_2,2195,,,,,,,
IMG_4732,POC_R120_H1,20250714,120,heat,Tank_2,2997,,,,,,,
IMG_4733,POC_S120_H1,20250714,120,heat,Tank_2,2524,,,,,,,
IMG_4734,POC_P120_C1,20250714,120,control,Tank_1,1223,,,,,,,
IMG_4735,POC_R120_C1,20250714,120,control,Tank_1,2758,,,,,,,
IMG_4736,POC_S120_C1,20250714,120,control,Tank_1,1644,,,,,,,
IMG_4737,POC_P120_C2,20250714,120,control,Tank_4,2666,,,,,,,
IMG_4738,POC_R120_C2,20250714,120,control,Tank_4,1128,,,,,,,
IMG_4739,POC_S120_C2,20250714,120,control,Tank_4,1653,,,,,,,
IMG_4740,POC_P120_C3,20250714,120,control,Tank_6,1122,,,,,,,
IMG_4741,POC_R120_C3,20250714,120,control,Tank_6,1824,,,,,,,
IMG_4742,POC_S120_C3,20250714,120,control,Tank_6,1427,,,,,,,
IMG_4743,POC_P120_H2,20250714,120,heat,Tank_3,1450,,,,,,,
IMG_4744,POC_R120_H2,20250714,120,heat,Tank_3,2729,,,,,,,
IMG_4745,POC_S120_H2,20250714,120,heat,Tank_3,1322,,,,,,,
IMG_4746,POC_P120_H3,20250714,120,heat,Tank_5,2730,,,,,,,
IMG_4747,POC_R120_H3,20250714,120,heat,Tank_5,1130,,,,,,,
IMG_4748,POC_S120_H3,20250714,120,heat,Tank_5,1412,,,,,,,
IMG_4749,POC_PAM_2565,20250714,120,control,Tank_1,2565,,,,,,,
IMG_4750,POC_PAM_2370,20250714,120,control,Tank_1,2370,,,,,,,
IMG_4751,POC_PAM_2986,20250714,120,control,Tank_1,2986,,,,,,,
IMG_4752,POC_PAM_1471,20250714,120,heat,Tank_2,1471,,,,,,,
IMG_4753,POC_PAM_1753,20250714,120,heat,Tank_2,1753,,,,,,,
IMG_4754,POC_PAM_1100,20250714,120,heat,Tank_2,1100,,,,,,,
IMG_4755,POC_PAM_1059,20250714,120,heat,Tank_3,1059,,,,,,,
IMG_4756,POC_PAM_1691,20250714,120,heat,Tank_3,1691,,,,,,,
IMG_4757,POC_PAM_1626,20250714,120,heat,Tank_3,1626,,,,,,,
IMG_4758,POC_PAM_1761,20250714,120,control,Tank_4,1761,,,,,,,
IMG_4759,POC_PAM_1159,20250714,120,control,Tank_4,1159,,,,,,,
IMG_4760,POC_PAM_1281,20250714,120,control,Tank_4,1281,,,,,,,
IMG_4761,POC_PAM_1614,20250714,120,heat,Tank_5,1614,,,,,,,
IMG_4762,POC_PAM_1038,20250714,120,heat,Tank_5,1038,,,,,,,
IMG_4763,POC_PAM_1473,20250714,120,heat,Tank_5,1473,,,,,,,
IMG_4764,POC_PAM_1043,20250714,120,control,Tank_6,1043,,,,,,,
IMG_4765,POC_PAM_1175,20250714,120,control,Tank_6,1175,,,,,,,
IMG_4766,POC_PAM_1474,20250714,120,control,Tank_6,1474,,,,,,,
