"Gene","cluster","membership","response_type"
"Pocillopora_acuta_HIv2___RNAseq.2545_t",1,0.928120524984433,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.25668_t",3,0.606649956117827,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.2585_t",4,0.429387488095828,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26080_t",1,0.443414850042026,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26125_t",4,0.857269217136324,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26126_t",4,0.931883690476561,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26133_t",6,0.911135608104012,"Other"
"Pocillopora_acuta_HIv2___RNAseq.2613_t",5,0.677059270484555,"Other"
"Pocillopora_acuta_HIv2___RNAseq.26145_t",1,0.260612609768026,"Other"
"Pocillopora_acuta_HIv2___RNAseq.26309_t",5,0.535070505183732,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26321_t",4,0.867117870434511,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26328_t",1,0.59273633312243,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26338_t",2,0.596618546774955,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26355_t",1,0.72691517452703,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26419_t",1,0.668669022456732,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26508_t",2,0.843153050697585,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.26558_t",5,0.969728959815085,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26630_ta",6,0.494716729470804,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26630_tb",6,0.614051504592751,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.26948_t",2,0.882826097749908,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.27007_t",5,0.786630494088835,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.27820_t",4,0.944218121820197,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.2795_t",3,0.463890356496833,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.27995_t",5,0.945039032457669,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.2811_t",1,0.986587961745525,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.28160_t",4,0.245405432492492,"Other"
"Pocillopora_acuta_HIv2___RNAseq.29083_t",5,0.982458160299273,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.29468_t",2,0.982410264082436,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.2947_t",4,0.905634697629777,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.29601_t",2,0.50465867083231,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.29703_t",5,0.693001505632274,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.2973_t",1,0.610450125139801,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.30019_t",1,0.506489293949288,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.30415_t",3,0.498345625494809,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.30649_t",5,0.537841346607536,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.30677_t",6,0.862747677566098,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.30900_t",2,0.905283018019833,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3129_t",2,0.658466130732099,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3260_t",2,0.806857290289163,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3335_t",5,0.507101153951409,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3473_t",1,0.803372353021161,"Other"
"Pocillopora_acuta_HIv2___RNAseq.3607_t",5,0.932969403896511,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.3688_t",4,0.702465819619783,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3699_t",6,0.42343561322365,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3715_t",1,0.853648089725732,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3834_t",5,0.662934947880461,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.3970_t",6,0.338135789616535,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.4079_t",1,0.760770399429463,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4105_t",3,0.542608551530492,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4360_t",3,0.895232128419895,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4396_t",1,0.922579604277959,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.448_t",1,0.767402016696615,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4782_t",3,0.445752799938026,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4800_t",4,0.958060217020633,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.4802_t",4,0.927695343257966,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4809_t",4,0.943592316798496,"Monotonous"
