"","MElightcyan","MEroyalblue","MEsalmon","MEviolet","MEdarkolivegreen","MEpurple","MEturquoise","MElightyellow","MEred","MEpaleturquoise","MEyellow","MEblue","MEmidnightblue","MEorange","MEpink","MEtan","MEgrey60","MEsteelblue","MEdarkred","MEgreenyellow","MEgreen","MEsaddlebrown","MEdarkgreen","MEwhite","MEdarkturquoise","MEblack","MEcyan","MEmagenta","MEbrown","MEdarkgrey"
"MON_R1_H2",-0.0939983616794689,-0.0868527219668306,0.307858466642957,0.359859491636119,-0.0153464401952849,-0.0862084646145144,-0.0724196429540256,0.0540123038922024,0.1088606445394,0.0148868043446163,0.0603555967463873,0.0471002007875468,0.100885590166875,0.116663238897573,0.202665858169275,-0.12137046902095,-0.0289565451210583,-0.0657531529552572,-0.0686766086458952,0.0216376404032179,-0.0873082900159421,-0.135310049289537,0.61689799674501,0.385096065815529,-0.103701466040586,-0.010509105988706,-0.104853427299117,0.142751843105915,0.0203999296739479,0.161312973674802
"MON_R1_H3",-0.11964790947905,-0.106273680814628,-0.077311149394369,-0.209149007786727,-0.221134677670452,-0.0603236229549649,-0.0924962761975935,0.0674624710473583,0.198031474348606,0.167685129938733,0.304800410006078,0.0640312142799349,0.204805479334004,0.11694384482742,0.201127878662967,0.0572915386857735,0.247618975472385,0.0897523485621672,-0.261566682414887,-0.275926742080944,-0.180578392114872,-0.129246505679219,-0.00872833421305843,-0.182002793204831,-0.125979665826789,-0.0839368515760647,-0.133546277866334,0.023962253858463,0.103160712953842,0.184705003334475
"MON_R3_C1",0.110943520707431,0.195551662359704,-0.099863783045597,-0.244174644778073,-0.203898928824103,-0.0686368449430738,-0.0908456094010393,0.0492804618901318,0.177377243356327,0.0699348042485724,0.253992083362404,0.090091707623129,0.162002468851904,-0.186531464522637,-0.154721403695806,-0.00233773447099104,0.135112924357022,0.0255103385541433,-0.282562953522021,-0.280630870708174,-0.211551579586766,-0.161051456858673,-0.036444563758978,-0.216477585278423,-0.216337475345409,-0.19604721322962,-0.191180252177602,0.00553084952473605,0.185561019681855,0.281373465588839
"MON_R3_C2",-0.0879668312960591,-0.0124360811296601,-0.102617607876243,0.0188312506071774,0.0168344260346279,-0.073363434092661,-0.110099731788333,-0.156476117363124,-0.148459342935286,-0.168652179690742,-0.110013453266601,0.120078212807944,-0.01217763820368,0.124560713810501,0.216423671067359,0.147075196975812,0.0568839239549915,-0.0214714949659715,0.0265704186731187,0.1377294750178,0.173063457628746,0.0212127779874244,-0.0772516150658539,0.106213919443507,-0.0353776400451154,0.0234806344210992,-0.0446087462581095,-0.0638728442087243,0.0910447230266431,-0.000301628093716948
"MON_R3_C3",0.0100344149881491,0.0606084341415827,-0.0955603903536498,-0.0235428768878754,0.00505908976500348,-0.0731327290821026,-0.0924671084592489,-0.141332654329473,-0.154389944456136,-0.184845318913555,-0.118930437864838,0.0873243620295875,-0.0848790938159986,-0.131307589147651,-0.0845761211207326,0.0741058923054684,-0.0476145484207185,-0.0682562065310103,0.0246653629755609,0.0830094078705656,0.114548842961187,-0.0619243577987461,-0.0743835292226036,0.0757744548064235,0.0975580167208737,0.13389570553565,0.213248660953226,0.116852023969893,0.113955951623287,-0.0355839878802404
"MON_R3_H1",-0.196808479011357,-0.515218812916926,-0.12800450462792,-0.100417380014595,-0.00958587358416006,-0.0823974603339451,0.245686413700981,-0.0990291004305461,-0.175502262488566,0.0418930433035072,-0.110572955869078,-0.357877186139253,-0.358155640707085,-0.142581091300866,-0.239925464939103,0.0501136307443815,-0.130096017378342,0.177424336333021,0.228573427543547,0.0122367842295863,0.107662724762168,0.208992683451545,-0.062941548984422,0.0450296088517258,0.496809222641274,0.0488236314893443,0.212990674110284,0.195936741806275,0.0444359834832589,-0.134987192364999
"MON_R3_H2",-0.257724410568338,-0.428347855949467,-0.106172694447694,-0.0416590159295779,0.0317352762643827,-0.0799004650324931,0.138292852803109,-0.110999626350945,-0.154773736693518,0.0426475799998535,-0.0884342373985411,-0.269245710368598,-0.269520137195876,0.0880407647419026,0.0302187344545444,0.131843273603527,0.00181009169517643,0.159251758109367,0.205112169355848,0.0868273445770755,0.16953112770416,0.274704806802926,-0.0579594532020766,0.0696987368812149,0.0351585437459302,-0.137233033917884,0.0604103699240034,0.0542716468775306,0.01119844815393,-0.0317397650757246
"MON_R3_H3",-0.176981734844806,-0.373199405087117,-0.102674915021372,-0.244924407129404,-0.252177495231334,-0.0813737518924627,0.153031634676673,0.139822741552473,0.156686259048051,0.394240788974239,0.263599781170631,-0.250808524044669,-0.0807844467665514,-0.149325406919941,-0.225031143126298,-0.0242990971973582,0.0933956988456667,0.19662708781511,-0.224611463130033,-0.331731644994823,-0.201393144273071,-0.0225252795117896,-0.0260355670866415,-0.218081897341928,0.184702687246175,-0.102579415240169,0.00381689510115953,0.385960512396608,0.0539323523559287,0.00734079490492599
"MON_R12_C1",-0.024703531856909,0.077466077305537,-0.0760918647684948,-0.18978547143079,-0.203107488551786,-0.0585381387678743,-0.0885274046651688,0.062090010491833,0.21409461442045,0.141317362710264,0.303842829658373,0.0946642641383843,0.24003862671068,0.024561382226943,0.0884807991751385,0.0445327353571817,0.287705772902393,0.0957339247935813,-0.278667144754077,-0.271101967598433,-0.180368547166269,-0.126634185437324,-0.0313364053219157,-0.198017388131931,-0.168098699264768,-0.113622738335295,-0.153583020170138,-0.0723698841714859,0.0958108076578224,0.233627934894719
"MON_R12_C2",0.0430557210991399,0.0782829374914983,0.346548891492716,0.274173085474987,0.230463582893309,0.454796972139949,-0.128005564390791,0.125748990386045,0.235440849005285,-0.0590716826036803,-0.0640748011179591,0.118225431886588,0.219821673330638,0.0486563833654659,0.125306627539037,-0.279270823040234,-0.169490472200567,-0.286091102315178,0.0311665492266062,0.165362594852211,-0.140565369449537,-0.164371418168188,-0.00919114248363988,-0.0633829112817109,-0.0672677573678452,0.0626476671433901,0.0944729895230031,-0.148772401178802,0.090543567510827,0.187824365356884
