"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"4920",2025-07-11 03:57:04,25.028,0,"Tank4","Control"
"4921",2025-07-11 04:02:04,25.028,0,"Tank4","Control"
"4922",2025-07-11 04:07:04,25.125,0,"Tank4","Control"
"4923",2025-07-11 04:12:04,25.222,0,"Tank4","Control"
"4924",2025-07-11 04:17:04,25.222,0,"Tank4","Control"
"4925",2025-07-11 04:22:04,25.222,0,"Tank4","Control"
"4926",2025-07-11 04:27:04,25.125,0,"Tank4","Control"
"4927",2025-07-11 04:32:04,25.125,0,"Tank4","Control"
"4928",2025-07-11 04:37:04,25.125,0,"Tank4","Control"
"4929",2025-07-11 04:42:04,25.125,0,"Tank4","Control"
"4930",2025-07-11 04:47:04,25.028,0,"Tank4","Control"
"4931",2025-07-11 04:52:04,25.028,0,"Tank4","Control"
"4932",2025-07-11 04:57:04,25.125,0,"Tank4","Control"
"4933",2025-07-11 05:02:04,25.222,0,"Tank4","Control"
"4934",2025-07-11 05:07:04,25.222,0,"Tank4","Control"
"4935",2025-07-11 05:12:04,25.125,0,"Tank4","Control"
"4936",2025-07-11 05:17:04,25.125,0,"Tank4","Control"
"4937",2025-07-11 05:22:04,25.125,0,"Tank4","Control"
"4938",2025-07-11 05:27:04,25.125,0,"Tank4","Control"
"4939",2025-07-11 05:32:04,25.028,0,"Tank4","Control"
"4940",2025-07-11 05:37:04,25.028,0,"Tank4","Control"
"4941",2025-07-11 05:42:04,25.222,0,"Tank4","Control"
"4942",2025-07-11 05:47:04,25.222,0,"Tank4","Control"
"4943",2025-07-11 05:52:04,25.222,0,"Tank4","Control"
"4944",2025-07-11 05:57:04,25.222,0,"Tank4","Control"
"4945",2025-07-11 06:02:04,25.125,0,"Tank4","Control"
"4946",2025-07-11 06:07:04,25.125,0,"Tank4","Control"
"4947",2025-07-11 06:12:04,25.125,0,"Tank4","Control"
"4948",2025-07-11 06:17:04,25.028,0,"Tank4","Control"
"4949",2025-07-11 06:22:04,25.028,0,"Tank4","Control"
"4950",2025-07-11 06:27:04,25.028,0,"Tank4","Control"
"4951",2025-07-11 06:32:04,25.125,0,"Tank4","Control"
"4952",2025-07-11 06:37:04,25.125,0,"Tank4","Control"
"4953",2025-07-11 06:42:04,25.125,0,"Tank4","Control"
"4954",2025-07-11 06:47:04,25.125,0,"Tank4","Control"
"4955",2025-07-11 06:52:04,25.125,0,"Tank4","Control"
"4956",2025-07-11 06:57:04,25.028,0,"Tank4","Control"
"4957",2025-07-11 07:02:04,25.028,0,"Tank4","Control"
"4958",2025-07-11 07:07:04,25.028,0,"Tank4","Control"
"4959",2025-07-11 07:12:04,25.222,0,"Tank4","Control"
"4960",2025-07-11 07:17:04,25.222,0,"Tank4","Control"
