"","POR_R0_C1","POR_R0_C2","POR_R0_C3","POR_R0_H1","POR_R0_H2","POR_R0_H3","POR_R1_C1","POR_R1_C2","POR_R1_C3","POR_R1_H1","POR_R1_H2","POR_R1_H3","POR_R3_C1","POR_R3_C2","POR_R3_C3","POR_R3_H1","POR_R3_H2","POR_R3_H3","POR_R12_C1","POR_R12_C2","POR_R12_C3","POR_R12_H1","POR_R12_H2","POR_R12_H3","POR_R24_C1","POR_R24_C2","POR_R24_C3","POR_R24_H1","POR_R24_H2","POR_R24_H3","POR_R72_C1","POR_R72_C2","POR_R72_C3","POR_R72_H1","POR_R72_H2","POR_R72_H3","POR_R120_C1","POR_R120_C2","POR_R120_C3","POR_R120_H1","POR_R120_H2","POR_R120_H3"
"Porites_compressa_HIv1___RNAseq.g25238.t1",5.10631280729138,5.76236258893743,5.10631280729138,5.10631280729138,5.86762197617288,5.10631280729138,5.10631280729138,5.4106611220953,5.10631280729138,5.10631280729138,5.62465843593482,6.1837103152462,5.10631280729138,5.67689974815567,5.10631280729138,5.48189420880052,5.64257237509959,5.905697409666,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.3913003164151,5.10631280729138,5.10631280729138,5.10631280729138,5.70301941205242,8.17472413800957,5.10631280729138,5.44640421252341,6.14353157957024,5.72505510686499,5.10631280729138,5.10631280729138,7.45747247549452,5.48674808966435,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g25247.t1",5.10631280729138,5.10631280729138,5.10631280729138,5.84910978953076,5.10631280729138,5.63817931801057,6.4178040767816,6.05343242527147,5.57447707632439,5.10631280729138,5.10631280729138,5.10631280729138,5.7352590917085,5.10631280729138,5.80196091683143,5.10631280729138,5.82608680464773,5.60593593816994,6.06733063769303,5.84292049363343,6.3055333217228,5.10631280729138,5.10631280729138,5.57362290089906,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.8298123325268,6.11188535604992,5.58704305156003,6.13472661701403,5.10631280729138,5.10631280729138,5.10631280729138,6.16909074701246,6.00839723118472,6.11201218779554,5.52183699118878,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g25248.t2",5.10631280729138,5.10631280729138,5.10631280729138,6.2781568870218,5.73028198260291,6.1318285557306,6.17016033199907,5.53593566728811,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.60946705991416,5.10631280729138,5.10631280729138,5.10631280729138,5.71036214719013,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.53922572402911,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.54549282275332,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,6.09329350859895,5.70228654692009,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___TS.g16988.t1",5.10631280729138,5.10631280729138,5.10631280729138,6.54767226223065,5.10631280729138,6.39164396745779,7.09169037698911,6.07598810623012,5.10631280729138,5.10631280729138,6.39199143374555,5.9770884763789,6.43696979551273,5.10631280729138,6.67515303921267,5.10631280729138,5.96913594841268,6.01698820308409,6.4424028787771,5.10631280729138,7.20444334128367,5.10631280729138,5.10631280729138,5.41300045227218,5.10631280729138,7.06736872245583,5.10631280729138,5.10631280729138,5.10631280729138,5.41064006777721,6.2601007085111,6.33163224225533,6.167032311372,5.10631280729138,5.10631280729138,5.10631280729138,6.8759563179696,6.29739138735821,6.11201218779554,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___TS.g16990.t1",5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.72967599532977,5.10631280729138,5.72363656802871,5.10631280729138,6.12715837884092,5.10631280729138,5.76276255814656,5.10631280729138,5.74235604483257,5.10631280729138,5.66612891886757,5.73643397612986,5.10631280729138,5.39423061759086,5.6376617857647,5.51084146995859,5.3913003164151,5.10631280729138,5.53022771266481,5.93127516805435,5.10631280729138,5.10631280729138,5.84160347020849,5.10631280729138,5.7498952898034,5.10631280729138,5.95175176318332,5.10631280729138,5.10631280729138,5.44678058816802,5.10631280729138,5.74929029390871,5.9610432765281,5.36965692373997,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___TS.g16991.t1",5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.53593566728811,5.10631280729138,6.00053576537897,5.10631280729138,5.8767861096686,5.57247698280918,6.02838757994542,5.10631280729138,5.10631280729138,5.50339616247002,5.65308343604505,5.62672249316764,5.47760472142829,5.10631280729138,5.10631280729138,5.3913003164151,5.57362290089906,5.65994329102155,5.63228457705533,6.40574848095002,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.86460418251626,5.10631280729138,5.10631280729138,5.66865907378428,6.3651744478091,5.59406446058195,5.7721835397168,5.69195665859514,5.52582767581919,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g25255.t1",5.10631280729138,5.10631280729138,5.88022309433177,5.10631280729138,5.10631280729138,5.54139282619316,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.60946705991416,5.97060751493139,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.80586208809377,5.10631280729138,5.41253531993279,5.45506776767317,5.85067248205834,5.72435856110967,5.10631280729138,5.10631280729138,5.10631280729138,5.64245057943115,5.44640421252341,6.00923296045119,5.90886311245584,6.06630458922166,5.10631280729138,5.10631280729138,5.7169566202387,5.10631280729138,5.85320469147344,5.10631280729138,5.7973971363104,5.56208435239983,5.91674429623521
"Porites_compressa_HIv1___RNAseq.g25260.t1",5.10631280729138,5.92479805028599,6.12905888889744,5.99008051858241,5.94587443683442,5.82315178581189,6.46076929812845,6.23813741088872,5.10631280729138,5.78682820939458,6.06361367817683,6.2545073055879,5.83870390514442,6.62536386482659,5.60056885293904,5.90953998933609,5.90902239332095,5.905697409666,5.10631280729138,6.56085630677457,6.23189097335039,5.99949927389021,6.04699264317444,5.76436268707424,6.56091346469011,5.93127516805435,6.27595356607791,5.10631280729138,6.36467581636451,5.87452931702169,6.38833946149473,6.17919536758603,6.10119433063761,5.10631280729138,5.10631280729138,6.54342012117174,5.10631280729138,5.9262023844977,5.10631280729138,6.71974127900954,6.41075590546496,6.56706258682052
"Porites_compressa_HIv1___TS.g17003.t1c",5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.82081512064957,5.92830777670957,5.10631280729138,5.95432137093901,6.03790682359784,5.10631280729138,6.13748554929721,5.10631280729138,5.10631280729138,5.10631280729138,5.94839660681769,5.55583005240252,5.80894704079941,5.55926631084904,5.10631280729138,5.10631280729138,5.10631280729138,5.58639503777784,5.8298123325268,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.80304452111286,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.69754295585847,5.57828461740524
"Porites_compressa_HIv1___RNAseq.g25275.t1",5.10631280729138,5.60405162909587,5.36703219638855,5.10631280729138,5.54923105468716,5.10631280729138,5.10631280729138,5.10631280729138,6.16013938213045,5.10631280729138,5.10631280729138,5.40048750208577,5.10631280729138,5.10631280729138,5.10631280729138,5.41326117776137,5.10631280729138,5.10631280729138,5.10631280729138,5.54515096805141,5.71872696449916,5.32304766083534,5.45506776767317,5.10631280729138,5.81819616049455,5.63228457705533,5.10631280729138,5.10631280729138,5.58639503777784,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.7169566202387,5.10631280729138,5.10631280729138,5.10631280729138,5.52183699118878,5.10631280729138,5.10631280729138
