gene_id	module	color
Montipora_capitata_HIv3___RNAseq.g2812.t1	ME31	paleturquoise
Montipora_capitata_HIv3___RNAseq.g2813.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2814.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2815.t1	ME26	darkorange
Montipora_capitata_HIv3___TS.g40371.t1	ME25	orange
Montipora_capitata_HIv3___RNAseq.g2816.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2817.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2818.t1	ME24	darkgrey
Montipora_capitata_HIv3___RNAseq.g2819.t1	ME24	darkgrey
Montipora_capitata_HIv3___RNAseq.g2820.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40377.t2a	ME2	blue
Montipora_capitata_HIv3___TS.g40377.t2b	ME0	grey
Montipora_capitata_HIv3___TS.g40377.t2c	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2823.t1	ME32	violet
Montipora_capitata_HIv3___TS.g40379.t2	ME7	black
Montipora_capitata_HIv3___TS.g40380.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g2826.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g2827.t1	ME11	greenyellow
Montipora_capitata_HIv3___TS.g40383.t2	ME2	blue
Montipora_capitata_HIv3___TS.g40384.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2834.t1b	ME5	green
Montipora_capitata_HIv3___RNAseq.g2834.t1a	ME7	black
Montipora_capitata_HIv3___RNAseq.g2836.t1b	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2836.t1a	ME5	green
Montipora_capitata_HIv3___RNAseq.g2837.t1b	ME5	green
Montipora_capitata_HIv3___RNAseq.g2840.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2841.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2849.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g2853.t1d	ME5	green
Montipora_capitata_HIv3___RNAseq.g2857.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2864.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40420.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2866.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2867.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g2868.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2870.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g2871.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2872.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2874.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2877.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2884.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g2887.t3	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g2888.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g2889.t1	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g2890.t1	ME12	tan
Montipora_capitata_HIv3___RNAseq.g2891.t1	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g2893.t1b	ME23	darkturquoise
Montipora_capitata_HIv3___RNAseq.g2893.t1a	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g2894.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g2895.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2896.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2897.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40458.t1	ME18	lightgreen
Montipora_capitata_HIv3___RNAseq.g2899.t2	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2968.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2970.t1a	ME0	grey
Montipora_capitata_HIv3___TS.g40606.t1b	ME3	brown
Montipora_capitata_HIv3___RNAseq.g3039.t1	ME14	cyan
Montipora_capitata_HIv3___TS.g40613.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3098.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40670.t1a	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3165.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g3167.t1b	ME0	grey
Montipora_capitata_HIv3___TS.g40764.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g3235.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3244.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3253.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3284.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g3339.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3352.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g3357.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40953.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g3417.t1	ME14	cyan
