"module","treatment_time","correlation","pvalue","label"
"ME9","24hr-Heat",-0.1222911171789,0.452207685561327,""
"ME9","72hr-Heat",-0.254069305610616,0.113648365328719,""
"ME9","120hr-Heat",-0.62316607723177,1.74821332218621e-05,"-0.62"
"ME26","0hr-Control",-0.082761327320016,0.611661560748616,""
"ME26","1hr-Control",-0.128261638471283,0.430263601190104,""
"ME26","3hr-Control",0.155228181496931,0.338853912479971,""
"ME26","12hr-Control",0.0449427480299949,0.783033012126843,""
"ME26","24hr-Control",0.153198424413191,0.345284686407785,""
"ME26","72hr-Control",0.126891273403958,0.435247067201456,""
"ME26","120hr-Control",0.348479049198166,0.0275470365013383,"0.35"
"ME26","0hr-Heat",-0.113573744868958,0.485309197509273,""
"ME26","1hr-Heat",-0.0893182186874836,0.583635219537973,""
"ME26","3hr-Heat",0.292049204778985,0.0674587337527635,""
"ME26","12hr-Heat",-0.0987168469967629,0.544497783966625,""
"ME26","24hr-Heat",0.0798537811798427,0.624269560649715,""
"ME26","72hr-Heat",-0.224775741124757,0.163183096065134,""
"ME26","120hr-Heat",-0.554775295243896,0.00020322316280866,"-0.55"
"ME23","0hr-Control",0.0139938760610401,0.931702793860422,""
"ME23","1hr-Control",0.0557772889385635,0.732466315479814,""
"ME23","3hr-Control",-0.236102910218514,0.142451552906238,""
"ME23","12hr-Control",-0.00667361132179689,0.967399830687588,""
"ME23","24hr-Control",0.113945445329448,0.483872576799063,""
"ME23","72hr-Control",0.142537606775063,0.380273250658275,""
"ME23","120hr-Control",0.199556976622154,0.216997824762475,""
"ME23","0hr-Heat",-0.0307983683890223,0.850364049415506,""
"ME23","1hr-Heat",0.291601895975222,0.0678990624288611,""
"ME23","3hr-Heat",0.085361415299772,0.600479442677597,""
"ME23","12hr-Heat",-0.338454600841097,0.0326639004045171,"-0.34"
"ME23","24hr-Heat",-0.311912036161241,0.0500729890577068,""
"ME23","72hr-Heat",-0.0554403356704505,0.734023476019955,""
"ME23","120hr-Heat",0.0540292242592144,0.74055598705003,""
"ME22","0hr-Control",0.118108490381407,0.467934839803306,""
"ME22","1hr-Control",-0.0824597343294351,0.612964319942248,""
"ME22","3hr-Control",0.00206413703276076,0.989914384386028,""
"ME22","12hr-Control",-0.0157028952788625,0.923385226238901,""
"ME22","24hr-Control",0.192725271939302,0.23347321335185,""
"ME22","72hr-Control",0.115791813530457,0.476769315585926,""
"ME22","120hr-Control",-0.17723136232329,0.273930922519938,""
"ME22","0hr-Heat",-0.029232983132062,0.857889778489092,""
"ME22","1hr-Heat",0.234433354926072,0.145378705533979,""
"ME22","3hr-Heat",-0.033568992870793,0.837076449167692,""
"ME22","12hr-Heat",-0.252423777496883,0.116086908429812,""
"ME22","24hr-Heat",-0.27533610056246,0.0855101418310908,""
"ME22","72hr-Heat",-0.00792866903071444,0.961273210821133,""
"ME22","120hr-Heat",0.207532488651529,0.198801691410646,""
"ME27","0hr-Control",-0.0375389083624934,0.818115571234227,""
"ME27","1hr-Control",-0.0789970764074575,0.628004941968002,""
"ME27","3hr-Control",0.0331136403964723,0.839257308605788,""
"ME27","12hr-Control",0.147115894445559,0.364998854575901,""
"ME27","24hr-Control",0.238262472424827,0.138730012412641,""
"ME27","72hr-Control",0.130797378692859,0.421126522171298,""
"ME27","120hr-Control",-0.0286473184325558,0.860708640613202,""
"ME27","0hr-Heat",-0.128149526407264,0.430670109322381,""
"ME27","1hr-Heat",-0.00403215795916113,0.980299821463134,""
"ME27","3hr-Heat",0.0536713741539742,0.742215474965582,""
"ME27","12hr-Heat",-0.261966015321049,0.102481566886835,""
"ME27","24hr-Heat",-0.291632696262687,0.0678686702263323,""
"ME27","72hr-Heat",-0.00823974594312581,0.959755001009432,""
"ME27","120hr-Heat",0.232887040028741,0.148129001039762,""
"ME12","0hr-Control",-0.00984397586199811,0.951927902550525,""
"ME12","1hr-Control",0.088967399185281,0.585120097677106,""
"ME12","3hr-Control",0.0950989980440048,0.559414021389993,""
"ME12","12hr-Control",-0.024576623409822,0.880346532409993,""
"ME12","24hr-Control",0.213453390936661,0.186004765045968,""
"ME12","72hr-Control",-0.150376164642107,0.354349480580386,""
"ME12","120hr-Control",-0.134145380689436,0.409231736659289,""
"ME12","0hr-Heat",-0.253443272753012,0.114571491443037,""
"ME12","1hr-Heat",0.00216405774969968,0.989426186847999,""
"ME12","3hr-Heat",0.11943620655838,0.462911220075078,""
"ME12","12hr-Heat",-0.0876373493727437,0.590764906680926,""
"ME12","24hr-Heat",-0.18224218999769,0.260373498094043,""
"ME12","72hr-Heat",0.101638423525906,0.532592457957679,""
"ME12","120hr-Heat",0.262898832545292,0.101219879702107,""
"ME0","0hr-Control",-0.0389110688521648,0.811585045703958,""
"ME0","1hr-Control",-0.0259958799208353,0.873491103025127,""
"ME0","3hr-Control",0.114248761775127,0.482701902955446,""
"ME0","12hr-Control",0.00422993284158451,0.979333742354299,""
"ME0","24hr-Control",0.272982306766578,0.0883280156563283,""
"ME0","72hr-Control",0.0030590233324411,0.985053710328332,""
"ME0","120hr-Control",-0.158696958890085,0.328036054510104,""
"ME0","0hr-Heat",-0.15732666884465,0.332283512709381,""
"ME0","1hr-Heat",0.142149333697446,0.381585734826809,""
"ME0","3hr-Heat",0.10636131223745,0.513618357985588,""
"ME0","12hr-Heat",-0.268228145647559,0.0942381152255259,""
"ME0","24hr-Heat",-0.248239091010132,0.12246592192296,""
