"sample","ME25","ME5","ME10","ME9","ME26","ME23","ME12","ME22","ME27","ME7","ME21","ME8","ME3","ME29","ME6","ME17","ME31","ME4","ME11","ME15","ME1","ME16","ME18","ME19","ME20","ME2","ME30","ME28","ME13","ME14","ME24","ME0"
"MON_R12_C3",0.187155496087086,0.205011983201014,0.0509473111078732,0.0540997597894078,0.172980782423248,0.177853986742934,0.00866477721884848,-0.0795809221807418,-0.0444693565504838,-0.138660688547048,-0.125113060788859,-0.00474529735774253,0.115504566372054,0.0308604035062424,-0.0216150473368066,0.068059364023509,-0.14247713042551,-0.14608794355009,-0.113810280827893,-0.0677318200476758,-0.0906118972555959,0.0635332027166374,0.0610251284293673,-0.221743607859781,-0.0646497819159938,0.127148744074597,0.0219389051571228,0.101451262813278,0.0185295832491357,0.0717860670687829,0.106227608728141,-0.0286312402421691
"MON_R12_H1",-0.284658687168282,-0.29219127874048,-0.345178293477209,-0.0239525600689691,0.00740625632020019,-0.301858688001058,-0.325777224621689,-0.287642446365797,-0.295051019905475,-0.332486561813029,-0.242997712140256,-0.117602012153445,-0.39034578664228,-0.5410665591355,-0.404354319218382,-0.492288435502957,0.279130465074277,0.186081036253476,0.23556468297042,0.244298057569554,0.457826847998932,0.467678415479915,0.501404740654666,0.261625194032541,0.431198603108843,-0.26055396019325,-0.0834240535447205,0.456649721385936,0.36659663370104,-0.00959412688461286,0.0983978848504979,-0.352406697685139
"MON_R12_H2",-0.165727837927494,-0.042594211881414,-0.236287517331744,-0.0199293292542206,-0.0702890202760916,-0.206221808219768,0.0556472431635747,-0.0926658785879127,-0.0953655554736854,0.179145566031202,0.132412144866709,-0.171569208986766,-0.22281680648799,-0.183797848304729,-0.153658423640067,-0.231400958048417,0.00699050753445618,-0.156928833183438,-0.12527603702013,-0.0566674434383112,0.181923239718523,0.00111657154721789,0.0881682730346736,0.322207556919478,0.139978457069524,0.121445751989547,0.269905545863998,-0.111083369414911,0.180725297918826,0.0223616572981864,0.00575158677585114,-0.0469664792554448
"MON_R12_H3",-0.209680266468626,-0.056171239485195,-0.192850796528051,-0.0192467475745911,-0.101563029756584,-0.0557283891336487,0.124140781894935,-0.0401875651119173,-0.0459750905395954,0.140521452427456,0.128201058300191,-0.146114535002221,-0.216262973262674,-0.23734093594378,-0.135155285601487,-0.276719379518877,-0.00264870534122908,-0.137126540413824,-0.114301428667765,-0.00621448699880027,0.185036681178942,-0.0601805668549966,-0.00124640546833042,0.272435024177851,0.104879102793229,0.167676222272554,0.331477420566872,-0.0970376865690653,0.192791823827201,0.0493303297461094,0.0338601315677756,-0.047450153108487
"MON_R24_C1",-0.119411722245006,-0.0239435047138579,0.0210225040567849,-0.0126801733461741,-0.0226484891273672,0.12051530701292,0.198656059952577,0.22049380268086,0.241994538470005,0.0344154701544869,0.0725079164742722,0.120413397935213,0.0206396351464645,0.0224230443653544,0.158336498938391,-0.0205298894496923,0.196571850130887,0.186531219336034,0.193036637085674,0.00437011477236988,-0.052678450201864,-0.116833320199603,-0.0444008686192315,-0.020143335642862,0.0991604507656872,-0.16608524295619,-0.0940965430006378,-0.0555349825611534,-0.225108978505414,-0.263381675618002,-0.225764759470157,0.241706174044044
"MON_R24_C2",0.0270181453392543,0.180984256188235,0.20733631395829,0.0406696961060997,0.11699635347236,-0.0561337897110488,0.0107920627329388,-0.0885338750741718,-0.0601761122877961,-0.105488242418062,-0.0504121008563815,-0.0341026477791284,0.147233493571461,0.0788888938992043,-0.00470131407362524,0.108723835377195,-0.153756252176597,-0.149640723626158,-0.118139591923179,0.116984965398969,-0.116041445480504,0.0103481514963014,-0.0906785408157798,-0.224246999886106,-0.0897660587984776,0.150888906499994,0.0174311363174251,0.0570283565525029,0.0273578575008176,0.0771772909707191,0.105505958556251,-0.0245413403840774
"MON_R24_C3",-0.012062413474788,0.000429534747911854,0.0868453131343039,0.283427629229419,0.160855145724342,0.125432579958923,0.146129606558099,0.189088214394346,0.215087092802633,-0.110385361942384,-0.125783475990175,0.147641224399736,0.051194853613225,0.0856352362062602,0.0777265781065603,0.0298949871905427,0.184025364039031,0.166623824507878,0.186089578330853,-0.0578622457169812,-0.0741031479593251,0.0133589524196977,0.0624773988649027,-0.176346817686407,0.0124083894117848,-0.168815423187269,-0.11986668692569,-0.00888049474929885,-0.223007867708921,-0.25625176222201,-0.217333767613552,0.237578135462257
"MON_R24_H1",-0.187334054973892,-0.055976259601888,-0.188547315957445,0.0257998841827927,0.0626554184594944,-0.211206102744618,0.0205891283974899,-0.0911977734123605,-0.0678046253181584,-0.0913934288317962,-0.261812028961473,-0.198888741001469,-0.163853306439002,-0.204869553011663,-0.150250538102688,-0.0750938585727521,-0.0870232429060379,-0.155244966832329,-0.118972081896454,0.111558784543383,0.136460021134951,0.164549675506715,0.132962072929448,-0.0539679086417179,0.230386173474869,0.111120226547391,0.219478713535098,0.0393866348033209,0.141284823725876,0.00280442872466408,0.0423288023724533,-0.0375510289347276
"MON_R24_H2",-0.0881421236959409,-0.120864883242794,-0.206827493246916,-0.0221993806726743,0.0457933339477534,-0.0541508751411186,0.00192944698031469,-0.0815594149610257,-0.114007043616209,-0.0184357450059984,-0.1848150783627,-0.130675671929685,-0.116202908047839,-0.123206498115215,-0.129736784104355,-0.0211678043751445,-0.0948218684010599,-0.151472342957649,-0.119663742801087,-0.0411384875949058,0.12462572196442,0.122630358085531,0.0803996850179467,0.00881004144783699,0.258807122396227,0.108424724112905,0.160274978639102,0.0336088111704688,0.115135121801965,0.00924683616381039,0.0361019722515302,-0.0392918456748299
"MON_R24_H3",-0.240543451168319,-0.0527195098711238,-0.248651789023648,-0.20731709738724,0.0245743214303125,-0.254236424005344,-0.326103652229504,-0.285906808423192,-0.303999736802682,-0.259318615645513,-0.281436294661147,-0.256539953220539,-0.329213574126237,-0.465094573525836,-0.340357639774624,-0.326645001163068,0.264519334667627,0.148220397102415,0.197625752468207,0.462144390929557,0.432247380820549,0.448165271020576,0.435080163212676,0.255611258759336,0.327774790694554,-0.260760669056535,-0.105608836929806,0.354916522100145,0.322849110719319,-0.0155072932799303,0.0772194518072442,-0.336682026089136
