task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_4,MON_R12_C2,DNA/RNA shield,1774,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,LCM,Tank_4,MON_R12_C2,PAXgene,1774,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,spatial,Tank_4,MON_S12_C2,Formalin,1578,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,phys,Tank_6,MON_P12_C3,LN2,2168,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_6,MON_R12_C3,DNA/RNA shield,1238,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,LCM,Tank_6,MON_R12_C3,PAXgene,1238,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,spatial,Tank_6,MON_S12_C3,Formalin,1572,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,phys,Tank_3,MON_P12_H2,LN2,1488,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_3,MON_R12_H2,DNA/RNA shield,1226,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,LCM,Tank_3,MON_R12_H2,PAXgene,1226,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,spatial,Tank_3,MON_S12_H2,Formalin,2853,Yes,Time: 21:54
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,phys,Tank_4,MON_P24_C2,LN2,1342,Yes,Time: 9:32
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_4,MON_R24_C2,DNA/RNA shield,1706,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,LCM,Tank_4,MON_R24_C2,PAXgene,1706,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,spatial,Tank_4,MON_S24_C2,Formalin,1483,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,phys,Tank_3,MON_P24_H2,LN2,1154,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_3,MON_R24_H2,DNA/RNA shield,1652,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,LCM,Tank_3,MON_R24_H2,PAXgene,1652,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,spatial,Tank_3,MON_S24_H2,Formalin,2520,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,phys,Tank_5,MON_P24_H3,LN2,1088,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_5,MON_R24_H3,DNA/RNA shield,2860,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,LCM,Tank_5,MON_R24_H3,PAXgene,2860,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,spatial,Tank_5,MON_S24_H3,Formalin,2082,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,phys,Tank_6,MON_P24_C3,LN2,1280,Yes,Time: 9:39
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_6,MON_R24_C3,DNA/RNA shield,1214,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,LCM,Tank_6,MON_R24_C3,PAXgene,1214,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,spatial,Tank_6,MON_S24_C3,Formalin,1620,Yes,
