Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R120_H2	28172612.0	277.0	20598398.0	73.11	278.26	16935420.0	15705166.0	16639226.0	137635.0	9741.0	148818.0	0.59	0.05	2.82	0.04	2.43	2092895.0	7.43	1341918.0	4.76	0.0	14.58	0.11	0	4108405	30996
MON_R120_H3	18606948.0	276.0	13547719.0	72.81	277.57	11227206.0	10320727.0	11020076.0	96322.0	7116.0	103692.0	0.61	0.05	2.78	0.04	2.4	1352222.0	7.27	671436.0	3.61	0.0	16.23	0.08	0	3020682	14889
MON_R12_C1	15100946.0	277.0	11643594.0	77.11	278.33	10884085.0	10084103.0	10712078.0	88144.0	6308.0	77555.0	0.58	0.04	2.86	0.04	2.49	1138202.0	7.54	286632.0	1.9	0.0	13.29	0.17	0	2006847	25671
MON_R12_C2	15870136.0	277.0	11743820.0	74.0	278.07	10841212.0	9977272.0	10666067.0	91061.0	6422.0	77662.0	0.59	0.05	2.86	0.04	2.45	1181737.0	7.45	386626.0	2.44	0.0	15.96	0.16	0	2532564	25389
MON_R12_C3	18046013.0	277.0	13998260.0	77.57	278.39	12573342.0	11675447.0	12375664.0	100499.0	6739.0	90440.0	0.58	0.04	2.85	0.03	2.4	1211579.0	6.71	236570.0	1.31	0.0	14.21	0.19	0	2565304	34300
MON_R12_H1	18594615.0	275.0	13481779.0	72.5	277.61	10435143.0	9664634.0	10252757.0	83998.0	6143.0	92245.0	0.62	0.05	2.82	0.04	2.45	1252407.0	6.74	349342.0	1.88	0.0	18.79	0.09	0	3494350	16737
MON_R12_H2	16820137.0	277.0	12595755.0	74.88	278.19	10925961.0	10109377.0	10749764.0	85564.0	7199.0	83434.0	0.59	0.05	2.8	0.04	2.43	1259791.0	7.49	545338.0	3.24	0.0	14.28	0.1	0	2402429	16824
MON_R12_H3	15284909.0	277.0	11510839.0	75.31	278.09	9498073.0	8768846.0	9335593.0	75836.0	6206.0	80438.0	0.6	0.05	2.81	0.04	2.44	1199089.0	7.84	339684.0	2.22	0.0	14.5	0.12	0	2216950	18347
MON_R1_C1	18187431.0	276.0	12908077.0	70.97	278.08	11630216.0	10710494.0	11437384.0	96710.0	7312.0	88810.0	0.59	0.04	2.81	0.04	2.41	1206536.0	6.63	264990.0	1.46	0.0	20.8	0.13	0	3784177	23651
MON_R1_C2	18709242.0	277.0	13655387.0	72.99	278.21	12590798.0	11614151.0	12393840.0	100279.0	7531.0	89148.0	0.58	0.04	2.82	0.04	2.39	1485594.0	7.94	814058.0	4.35	0.0	14.59	0.14	0	2728026	26177
