biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	assembly	fasta_file
SAMN56252350	POC_R72_C2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_C2_S8_R1_001.fastq.gz	POC_R72_C2_S8_R2_001.fastq.gz						
SAMN56252351	POC_R72_C3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_C3_S39_R1_001.fastq.gz	POC_R72_C3_S39_R2_001.fastq.gz						
SAMN56252352	POC_R72_H1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_H1_S48_R1_001.fastq.gz	POC_R72_H1_S48_R2_001.fastq.gz						
SAMN56252353	POC_R72_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_H2_S75_R1_001.fastq.gz	POC_R72_H2_S75_R2_001.fastq.gz						
SAMN56252354	POC_R72_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_H3_S91_R1_001.fastq.gz	POC_R72_H3_S91_R2_001.fastq.gz						
SAMN56252355	POC_R120_C1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_C1_S19_R1_001.fastq.gz	POC_R120_C1_S19_R2_001.fastq.gz	run-2-POC_R120_C1_S18_R1_001.fastq.gz	run-2-POC_R120_C1_S18_R2_001.fastq.gz	run-3_POC_R120_C1_S4_R1_001.fastq.gz	run-3_POC_R120_C1_S4_R2_001.fastq.gz		
SAMN56252356	POC_R120_C2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_C2_S111_R1_001.fastq.gz	POC_R120_C2_S111_R2_001.fastq.gz	run-2-POC_R120_C2_S44_R1_001.fastq.gz	run-2-POC_R120_C2_S44_R2_001.fastq.gz				
SAMN56252357	POC_R120_C3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_C3_S120_R1_001.fastq.gz	POC_R120_C3_S120_R2_001.fastq.gz	run-2-POC_R120_C3_S50_R1_001.fastq.gz	run-2-POC_R120_C3_S50_R2_001.fastq.gz				
SAMN56252358	POC_R120_H1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_H1_S122_R1_001.fastq.gz	POC_R120_H1_S122_R2_001.fastq.gz	run-2-POC_R120_H1_S51_R1_001.fastq.gz	run-2-POC_R120_H1_S51_R2_001.fastq.gz				
SAMN56252359	POC_R120_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_H2_S92_R1_001.fastq.gz	POC_R120_H2_S92_R2_001.fastq.gz	run-2-POC_R120_H2_S55_R1_001.fastq.gz	run-2-POC_R120_H2_S55_R2_001.fastq.gz				
SAMN56252360	POC_R120_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R120_H3_S17_R1_001.fastq.gz	POC_R120_H3_S17_R2_001.fastq.gz	run-2-POC_R120_H3_S17_R1_001.fastq.gz	run-2-POC_R120_H3_S17_R2_001.fastq.gz				
SAMN56252361	MON_R0_C1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_C1_S96_R1_001.fastq.gz	MON_R0_C1_S96_R2_001.fastq.gz						
SAMN56252362	MON_R0_C2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_C2_S118_R1_001.fastq.gz	MON_R0_C2_S118_R2_001.fastq.gz	run-2-MON_R0_C2_S48_R1_001.fastq.gz	run-2-MON_R0_C2_S48_R2_001.fastq.gz				
SAMN56252363	MON_R0_C3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_C3_S107_R1_001.fastq.gz	MON_R0_C3_S107_R2_001.fastq.gz	run-2-MON_R0_C3_S40_R1_001.fastq.gz	run-2-MON_R0_C3_S40_R2_001.fastq.gz				
SAMN56252364	MON_R0_H1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_H1_S89_R1_001.fastq.gz	MON_R0_H1_S89_R2_001.fastq.gz						
