accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description	treatment	timepoint	replicate
SAMN56252355	Successfully loaded	POC_R120_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	1
SAMN56252356	Successfully loaded	POC_R120_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	2
SAMN56252357	Successfully loaded	POC_R120_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	3
SAMN56252358	Successfully loaded	POC_R120_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	1
SAMN56252359	Successfully loaded	POC_R120_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	2
SAMN56252360	Successfully loaded	POC_R120_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-14	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	3
SAMN56252361	Successfully loaded	MON_R0_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	1
SAMN56252362	Successfully loaded	MON_R0_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	2
SAMN56252363	Successfully loaded	MON_R0_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	3
SAMN56252364	Successfully loaded	MON_R0_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	1
SAMN56252365	Successfully loaded	MON_R0_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	2
SAMN56252366	Successfully loaded	MON_R0_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	3
SAMN56252367	Successfully loaded	MON_R1_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	1
SAMN56252368	Successfully loaded	MON_R1_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	2
