"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Montipora_capitata_HIv3___TS.g26297.t1",6.68685428255764e-06,0.000119815056537763,-220.066689131332,-235.936999205886,17,12,698.906343550306,0,0,0,0,7.85197521581902e-06,0.000134001309108861,0.00125961921048444,0.00823390884733139,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4611.t2",0.0797912126463912,0.219094524303455,-230.005437714126,-234.927217796057,17,12,356.476996565099,0,0,0,0,0.165945616896208,0.323431640548645,0.706027387995173,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26298.t1",0.256355881478642,0.483980990375332,-230.573196934409,-233.847952980891,17,12,828.348099273795,0,0,0,0,0.683620685765169,0.779884846027987,0.0854044706272739,0.269703517706134,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4614.t1",0.33214340294409,0.570882146189006,-154.688463458647,-157.55943887284,17,12,26.1902885154955,0,0,0,0,0.186192833726961,0.348572837859641,0.18876890543523,0.488003058307468,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4617.t1",0.950781661417526,1,-141.634517224065,-142.202989910429,17,12,13.7135845049596,0,0,0,0,0.458785621510339,0.609281073184578,0.631719482429062,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26304.t1b",0.685610302285379,0.871953961199,-114.355844923634,-115.902475235699,17,12,5.0001766525721,0,0,0,0,0.493425151941419,0.638182143946242,0.269105460037674,0.627067058929484,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26304.t1a",0.24307123418878,0.467931565291504,-108.145224081254,-111.50050544215,17,12,2.17109556329792,0,0,0,0,0.56067591143698,0.691400717181446,0.0159474585790264,0.0705606025935432,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26305.t1",0.00934498246938145,0.0440791938424861,-263.573803779082,-271.198918445514,17,12,170.992478069078,0,0,0,0,0.0719444850646605,0.184531379346225,0.000808549291661629,0.00560821568391119,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4620.t1",0.754053113172259,0.91444279380692,-218.521814474879,-219.845835051058,17,12,294.812820671288,0,0,0,0,0.0233930727030064,0.0820079418106442,0.214317335604428,0.533912428465112,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26306.t1",0.0106437751688899,0.0486792143269081,-239.419802085424,-246.887295056886,17,12,588.072018043085,0,0,0,0,0.00767894077891385,0.0355136257449645,6.52610324641655e-05,0.000606810632204659,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___TS.g26307.t1c",0.0658411744134587,0.190343495092867,-242.36069293711,-247.536952442281,17,12,414.906415847742,0,0,0,0,0.0501789119976606,0.14342483927972,0.000400782297744823,0.00303145765632076,FALSE,FALSE,FALSE,"Other"
