"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"124",2025-06-25 18:19:41,25.416,430.6,"Tank1","Control"
"125",2025-06-25 18:24:41,25.513,484.4,"Tank1","Control"
"126",2025-06-25 18:29:41,25.61,322.9,"Tank1","Control"
"127",2025-06-25 18:34:41,25.61,301.4,"Tank1","Control"
"128",2025-06-25 18:39:41,25.61,269.1,"Tank1","Control"
"129",2025-06-25 18:44:41,25.513,269.1,"Tank1","Control"
"130",2025-06-25 18:49:41,25.513,258.3,"Tank1","Control"
"131",2025-06-25 18:54:41,25.513,236.8,"Tank1","Control"
"132",2025-06-25 18:59:41,25.416,204.5,"Tank1","Control"
"133",2025-06-25 19:04:41,25.416,172.2,"Tank1","Control"
"134",2025-06-25 19:09:41,25.416,172.2,"Tank1","Control"
"135",2025-06-25 19:14:41,25.416,96.9,"Tank1","Control"
"136",2025-06-25 19:19:41,25.61,75.3,"Tank1","Control"
"137",2025-06-25 19:24:41,25.61,183,"Tank1","Control"
"138",2025-06-25 19:29:41,25.513,150.7,"Tank1","Control"
"139",2025-06-25 19:34:41,25.513,53.8,"Tank1","Control"
"140",2025-06-25 19:39:41,25.513,32.3,"Tank1","Control"
"141",2025-06-25 19:44:41,25.513,21.5,"Tank1","Control"
"142",2025-06-25 19:49:41,25.416,10.8,"Tank1","Control"
"143",2025-06-25 19:54:41,25.416,0,"Tank1","Control"
"144",2025-06-25 19:59:41,25.319,0,"Tank1","Control"
"145",2025-06-25 20:04:41,25.513,0,"Tank1","Control"
"146",2025-06-25 20:09:41,25.61,0,"Tank1","Control"
"147",2025-06-25 20:14:41,25.513,0,"Tank1","Control"
"148",2025-06-25 20:19:41,25.513,0,"Tank1","Control"
"149",2025-06-25 20:24:41,25.513,0,"Tank1","Control"
"150",2025-06-25 20:29:41,25.416,0,"Tank1","Control"
"151",2025-06-25 20:34:41,25.416,0,"Tank1","Control"
"152",2025-06-25 20:39:41,25.319,0,"Tank1","Control"
"153",2025-06-25 20:44:41,25.61,0,"Tank1","Control"
"154",2025-06-25 20:49:41,25.61,0,"Tank1","Control"
"155",2025-06-25 20:54:41,25.61,0,"Tank1","Control"
"156",2025-06-25 20:59:41,25.513,0,"Tank1","Control"
"157",2025-06-25 21:04:41,25.513,0,"Tank1","Control"
"158",2025-06-25 21:09:41,25.513,0,"Tank1","Control"
"159",2025-06-25 21:14:41,25.416,0,"Tank1","Control"
"160",2025-06-25 21:19:41,25.319,0,"Tank1","Control"
"161",2025-06-25 21:24:41,25.513,0,"Tank1","Control"
"162",2025-06-25 21:29:41,25.61,0,"Tank1","Control"
"163",2025-06-25 21:34:41,25.513,0,"Tank1","Control"
"164",2025-06-25 21:39:41,25.513,0,"Tank1","Control"
"165",2025-06-25 21:44:41,25.416,0,"Tank1","Control"
"166",2025-06-25 21:49:41,25.416,0,"Tank1","Control"
"167",2025-06-25 21:54:41,25.416,0,"Tank1","Control"
"168",2025-06-25 21:59:41,25.416,0,"Tank1","Control"
"169",2025-06-25 22:04:41,25.61,10.8,"Tank1","Control"
"170",2025-06-25 22:09:41,25.61,10.8,"Tank1","Control"
"171",2025-06-25 22:14:41,25.513,10.8,"Tank1","Control"
"172",2025-06-25 22:19:41,25.513,10.8,"Tank1","Control"
"173",2025-06-25 22:24:41,25.416,0,"Tank1","Control"
"174",2025-06-25 22:29:41,25.416,0,"Tank1","Control"
"175",2025-06-25 22:34:41,25.416,0,"Tank1","Control"
"176",2025-06-25 22:39:41,25.319,0,"Tank1","Control"
"177",2025-06-25 22:44:41,25.319,0,"Tank1","Control"
"178",2025-06-25 22:49:41,25.319,0,"Tank1","Control"
"179",2025-06-25 22:54:41,25.222,0,"Tank1","Control"
"180",2025-06-25 22:59:41,25.416,0,"Tank1","Control"
"181",2025-06-25 23:04:41,25.416,0,"Tank1","Control"
"182",2025-06-25 23:09:41,25.416,0,"Tank1","Control"
"183",2025-06-25 23:14:41,25.416,0,"Tank1","Control"
"184",2025-06-25 23:19:41,25.319,0,"Tank1","Control"
"185",2025-06-25 23:24:41,25.319,0,"Tank1","Control"
"186",2025-06-25 23:29:41,25.319,0,"Tank1","Control"
"187",2025-06-25 23:34:41,25.319,0,"Tank1","Control"
"188",2025-06-25 23:39:41,25.222,0,"Tank1","Control"
"189",2025-06-25 23:44:41,25.416,0,"Tank1","Control"
"190",2025-06-25 23:49:41,25.513,0,"Tank1","Control"
"191",2025-06-25 23:54:41,25.416,0,"Tank1","Control"
"192",2025-06-25 23:59:41,25.416,0,"Tank1","Control"
"193",2025-06-26 00:04:41,25.319,0,"Tank1","Control"
"194",2025-06-26 00:09:41,25.319,0,"Tank1","Control"
"195",2025-06-26 00:14:41,25.319,0,"Tank1","Control"
"196",2025-06-26 00:19:41,25.319,0,"Tank1","Control"
"197",2025-06-26 00:24:41,25.222,0,"Tank1","Control"
"198",2025-06-26 00:29:41,25.416,0,"Tank1","Control"
"199",2025-06-26 00:34:41,25.416,0,"Tank1","Control"
"200",2025-06-26 00:39:41,25.416,0,"Tank1","Control"
"201",2025-06-26 00:44:41,25.416,0,"Tank1","Control"
"202",2025-06-26 00:49:41,25.319,0,"Tank1","Control"
"203",2025-06-26 00:54:41,25.319,0,"Tank1","Control"
"204",2025-06-26 00:59:41,25.319,0,"Tank1","Control"
"205",2025-06-26 01:04:41,25.319,0,"Tank1","Control"
"206",2025-06-26 01:09:41,25.222,0,"Tank1","Control"
"207",2025-06-26 01:14:41,25.319,0,"Tank1","Control"
"208",2025-06-26 01:19:41,25.319,0,"Tank1","Control"
"209",2025-06-26 01:24:41,25.319,0,"Tank1","Control"
"210",2025-06-26 01:29:41,25.319,0,"Tank1","Control"
"211",2025-06-26 01:34:41,25.319,0,"Tank1","Control"
"212",2025-06-26 01:39:41,25.319,0,"Tank1","Control"
"213",2025-06-26 01:44:41,25.319,0,"Tank1","Control"
"214",2025-06-26 01:49:41,25.319,0,"Tank1","Control"
