"","DateTimeGMTmin10","TempC","IntensityLux","Tank","Treatment","DateTimeEST"
"98",2025-05-22 02:07:36,25.513,0,"Tank1","Heated",2025-05-22 08:07:36
"99",2025-05-22 02:12:36,25.416,0,"Tank1","Heated",2025-05-22 08:12:36
"100",2025-05-22 02:17:36,25.416,0,"Tank1","Heated",2025-05-22 08:17:36
"101",2025-05-22 02:22:36,25.416,0,"Tank1","Heated",2025-05-22 08:22:36
"102",2025-05-22 02:27:36,25.416,0,"Tank1","Heated",2025-05-22 08:27:36
"103",2025-05-22 02:32:36,25.416,0,"Tank1","Heated",2025-05-22 08:32:36
"104",2025-05-22 02:37:36,25.416,0,"Tank1","Heated",2025-05-22 08:37:36
"105",2025-05-22 02:42:36,25.416,107.6,"Tank1","Heated",2025-05-22 08:42:36
"106",2025-05-22 02:47:36,25.319,161.5,"Tank1","Heated",2025-05-22 08:47:36
"107",2025-05-22 02:52:36,25.319,118.4,"Tank1","Heated",2025-05-22 08:52:36
"108",2025-05-22 02:57:36,25.319,150.7,"Tank1","Heated",2025-05-22 08:57:36
"109",2025-05-22 03:02:36,25.319,96.9,"Tank1","Heated",2025-05-22 09:02:36
"110",2025-05-22 03:07:36,25.319,247.6,"Tank1","Heated",2025-05-22 09:07:36
"111",2025-05-22 03:12:36,25.222,172.2,"Tank1","Heated",2025-05-22 09:12:36
"112",2025-05-22 03:17:36,25.61,172.2,"Tank1","Heated",2025-05-22 09:17:36
"113",2025-05-22 03:22:36,26.195,172.2,"Tank1","Heated",2025-05-22 09:22:36
"114",2025-05-22 03:27:36,26.781,312.2,"Tank1","Heated",2025-05-22 09:27:36
"115",2025-05-22 03:32:36,27.272,204.5,"Tank1","Heated",2025-05-22 09:32:36
"116",2025-05-22 03:37:36,27.862,290.6,"Tank1","Heated",2025-05-22 09:37:36
"117",2025-05-22 03:42:36,28.456,258.3,"Tank1","Heated",2025-05-22 09:42:36
"118",2025-05-22 03:47:36,29.053,290.6,"Tank1","Heated",2025-05-22 09:47:36
"119",2025-05-22 03:52:36,29.552,258.3,"Tank1","Heated",2025-05-22 09:52:36
"120",2025-05-22 03:57:36,29.953,398.3,"Tank1","Heated",2025-05-22 09:57:36
"121",2025-05-22 04:02:36,30.457,215.3,"Tank1","Heated",2025-05-22 10:02:36
"122",2025-05-22 04:07:36,30.558,430.6,"Tank1","Heated",2025-05-22 10:07:36
"123",2025-05-22 04:12:36,30.963,462.9,"Tank1","Heated",2025-05-22 10:12:36
"124",2025-05-22 04:17:36,31.472,409,"Tank1","Heated",2025-05-22 10:17:36
"125",2025-05-22 04:22:36,31.472,527.4,"Tank1","Heated",2025-05-22 10:22:36
"126",2025-05-22 04:27:36,31.37,452.1,"Tank1","Heated",2025-05-22 10:27:36
"127",2025-05-22 04:32:36,31.268,635.1,"Tank1","Heated",2025-05-22 10:32:36
"128",2025-05-22 04:37:36,31.268,0,"Tank1","Heated",2025-05-22 10:37:36
"129",2025-05-22 04:42:36,31.37,0,"Tank1","Heated",2025-05-22 10:42:36
"130",2025-05-22 04:47:36,31.268,0,"Tank1","Heated",2025-05-22 10:47:36
"131",2025-05-22 04:52:36,31.268,0,"Tank1","Heated",2025-05-22 10:52:36
"132",2025-05-22 04:57:36,31.268,0,"Tank1","Heated",2025-05-22 10:57:36
"133",2025-05-22 05:02:36,31.37,0,"Tank1","Heated",2025-05-22 11:02:36
"134",2025-05-22 05:07:36,31.268,0,"Tank1","Heated",2025-05-22 11:07:36
"135",2025-05-22 05:12:36,31.268,0,"Tank1","Heated",2025-05-22 11:12:36
"136",2025-05-22 05:17:36,31.268,0,"Tank1","Heated",2025-05-22 11:17:36
"137",2025-05-22 05:22:36,31.37,0,"Tank1","Heated",2025-05-22 11:22:36
"138",2025-05-22 05:27:36,31.268,0,"Tank1","Heated",2025-05-22 11:27:36
"139",2025-05-22 05:32:36,31.166,0,"Tank1","Heated",2025-05-22 11:32:36
"140",2025-05-22 05:37:36,31.37,667.4,"Tank1","Heated",2025-05-22 11:37:36
"141",2025-05-22 05:42:36,31.166,818.1,"Tank1","Heated",2025-05-22 11:42:36
"142",2025-05-22 05:47:36,31.064,861.1,"Tank1","Heated",2025-05-22 11:47:36
"143",2025-05-22 05:52:36,31.472,699.7,"Tank1","Heated",2025-05-22 11:52:36
"144",2025-05-22 05:57:36,31.064,828.8,"Tank1","Heated",2025-05-22 11:57:36
"145",2025-05-22 06:02:36,30.963,861.1,"Tank1","Heated",2025-05-22 12:02:36
"146",2025-05-22 06:07:36,31.166,753.5,"Tank1","Heated",2025-05-22 12:07:36
"147",2025-05-22 06:12:36,30.76,893.4,"Tank1","Heated",2025-05-22 12:12:36
"148",2025-05-22 06:17:36,31.166,850.4,"Tank1","Heated",2025-05-22 12:17:36
"149",2025-05-22 06:22:36,31.574,925.7,"Tank1","Heated",2025-05-22 12:22:36
"150",2025-05-22 06:27:36,31.472,839.6,"Tank1","Heated",2025-05-22 12:27:36
"151",2025-05-22 06:32:36,31.472,828.8,"Tank1","Heated",2025-05-22 12:32:36
