Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R3_C3	3798689.0	274.0	2699137.0	71.05	276.36	2853594.0	2678298.0	2823230.0	13494.0	946.0	15924.0	0.93	0.04	2.62	0.03	2.03	128030.0	3.37	21530.0	0.57	0.0	24.78	0.22	0	941632	8360
POR_R3_H1	15342936.0	267.0	9640854.0	62.84	273.13	9018732.0	8353629.0	8900109.0	44694.0	2901.0	71028.0	0.96	0.04	2.68	0.04	1.99	512626.0	3.34	90018.0	0.59	0.0	32.95	0.29	0	5054948	44490
POR_R3_H2	14363126.0	276.0	10596959.0	73.78	276.6	8730476.0	8099531.0	8616226.0	43250.0	3089.0	67911.0	0.96	0.05	2.68	0.04	2.01	540067.0	3.76	56478.0	0.39	0.0	21.73	0.33	0	3122207	47415
POR_R3_H3	6983721.0	272.0	5003711.0	71.65	275.32	5043156.0	4718021.0	4983188.0	27981.0	1371.0	30616.0	0.96	0.04	2.64	0.03	2.0	244473.0	3.5	45482.0	0.65	0.0	23.9	0.3	0	1669104	20951
POR_R72_C1	4518853.0	275.0	3272139.0	72.41	275.9	3055358.0	2840330.0	3015147.0	16002.0	1417.0	22792.0	1.02	0.05	2.63	0.04	2.14	212956.0	4.71	40142.0	0.89	0.0	21.68	0.3	0	980054	13562
POR_R72_C2	7927311.0	275.0	5694550.0	71.83	276.47	5412020.0	5054716.0	5348029.0	25173.0	2205.0	36613.0	0.94	0.05	2.72	0.04	2.03	277112.0	3.5	36559.0	0.46	0.0	24.02	0.18	0	1904816	14274
POR_R72_C3	6711773.0	275.0	3569036.0	53.18	275.01	3444467.0	3194240.0	3399694.0	16552.0	1249.0	26972.0	0.97	0.05	2.55	0.04	2.04	184947.0	2.76	29715.0	0.44	0.0	43.4	0.22	0	2913307	14768
POR_R72_H1	1692327.0	271.0	973059.0	57.5	274.45	957251.0	883194.0	946241.0	4420.0	253.0	6337.0	0.98	0.04	2.56	0.03	2.11	75096.0	4.44	22915.0	1.35	0.0	36.12	0.59	0	611272	9985
POR_R72_H2	2522149.0	273.0	1310632.0	51.96	275.18	1357435.0	1255863.0	1339718.0	9547.0	531.0	7639.0	0.98	0.04	2.5	0.03	2.22	139151.0	5.52	40583.0	1.61	0.0	39.48	1.43	0	995717	36066
POR_R72_H3	11154676.0	276.0	7860628.0	70.47	276.17	6900376.0	6348097.0	6805525.0	37529.0	2945.0	54377.0	0.99	0.05	2.71	0.04	2.13	517737.0	4.64	46543.0	0.42	0.0	24.19	0.28	0	2698532	31236
