"module","treatmentH.time_factor1","treatmentH.time_factor3","treatmentH.time_factor12","treatmentH.time_factor24","treatmentH.time_factor72","treatmentH.time_factor120","AveExpr","F","P.Value","adj.P.Val"
"ME16",-0.088687386427901,0.155432839784524,-0.106517095462745,-0.242302669933844,-0.299082764775165,-0.336729701757719,7.33921470605572e-18,2.34046475950656,0.0380784013591744,0.0727760956481616
"ME0",0.511091054542831,0.0824656064255458,0.205207265466397,0.0354554188883018,0.0847454788084774,0.197619289965677,3.79415160258517e-17,2.31958123098749,0.0396763996071657,0.0727760956481616
"ME21",0.0741707212805264,-0.138289935238162,-0.140431037847561,-0.163384559015027,-0.406873887937205,-0.402751258018442,-1.24544249557309e-18,2.3166337396448,0.0399071156735814,0.0727760956481616
"ME6",0.347072206893158,0.143987147707031,0.295277962431033,0.116547321216361,0.445402560733034,0.497899221866935,2.81670164400593e-17,2.31351910589799,0.0401523286334685,0.0727760956481616
"ME28",-0.483113854493301,-0.258227899093218,-0.345171784128542,-0.335251311720212,-0.44901326323664,-0.521100959934732,-3.51392704108122e-18,2.2579852620587,0.0447775450932722,0.0763852239826409
"ME7",-0.175696724521107,0.0741969078724188,0.0966152535484596,0.120867867506888,0.267364073370423,0.286651554385411,2.31296463463574e-18,1.87861369535142,0.093132916645689,0.150047476818055
"ME27",-0.425224344382273,0.0267721797210927,-0.123958849878776,-0.0804217449767558,-0.142661476085272,-0.0814576610762132,2.71328543678424e-17,1.7621023447163,0.115959293357441,0.169569009571148
"ME22",0.181775788597371,-0.0162298696939424,-0.0596295887153558,-0.247647437902341,-0.279565080878416,-0.123924405774582,3.13584628349654e-17,1.75757134530664,0.116944144531826,0.169569009571148
"ME23",0.317509141869871,0.223071029300569,0.431084991399559,0.331322962734946,0.331343659989494,0.454843118857766,-1.22869296201098e-17,1.68244285084825,0.13443985549298,0.185655038537925
"ME11",0.269088251033941,-0.00682446943877569,0.0382864439962477,-0.0496853523038074,-0.0939017606801854,-0.166339705858236,1.10310621036474e-17,1.49243544587275,0.189804100231218,0.250196313941152
"ME25",0.196503777318907,0.0632232487616789,0.268423242559826,0.19134514058367,0.396805007852577,0.287160276023129,-7.73953550820422e-18,1.20495097572117,0.311172062418143,0.392347383048962
"ME9",0.128847642811012,-0.0647786232924127,-0.080957558338481,-0.0707283060744711,-0.328275919506572,-0.12800640244968,4.2700885562506e-18,1.0742922572331,0.383932791676751,0.436946478137693
"ME13",-0.099379399412853,0.0705912916566228,0.116457298843925,0.0266232454395606,0.350452004869463,0.115541813951107,5.33761069531325e-18,1.0642401720187,0.390009850577169,0.436946478137693
"ME15",-0.210165974681096,-0.00803813077565363,-0.0815355453330788,-0.11107348934051,-0.0164169712620241,-0.30601975780525,1.03416207221694e-17,1.03795002262586,0.406225093308891,0.436946478137693
"ME10",0.218969323362117,0.149301867241277,0.0537015346870887,0.0885714624761677,-0.0814458769945369,-0.118685820219136,-2.70216541450233e-18,1.0370119320924,0.406812238266128,0.436946478137693
"ME8",0.238878173965645,0.11338940271063,0.183737381100745,0.103814315706214,0.153340674993074,0.349735133814961,-1.5301150659898e-17,0.929394766267638,0.47796340154131,0.495033523024929
"ME24",0.126996466900898,-0.0453780598892971,0.00199120089284734,-0.112959454710765,0.125224917216214,-0.14035624313358,6.15493233303309e-18,0.711040552869214,0.641567045401016,0.641567045401016
