"gene_id","module","color"
"Porites_compressa_HIv1___RNAseq.g24507.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g24508.t1","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g24509.t1","ME9","magenta"
"Porites_compressa_HIv1___RNAseq.g24510.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27989.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27990.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g24513.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24514.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24515.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24516.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24517.t1","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27996.t1","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g24519.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24520.t1","ME20","royalblue"
"Porites_compressa_HIv1___RNAseq.g24521.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24522.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g28000.t1","ME15","midnightblue"
"Porites_compressa_HIv1___TS.g28004.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24532.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24533.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24537.t1","ME13","salmon"
"Porites_compressa_HIv1___RNAseq.g24539.t1","ME13","salmon"
"Porites_compressa_HIv1___RNAseq.g24540.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24541.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25559.t1","ME12","tan"
"Porites_compressa_HIv1___RNAseq.g25560.t1","ME15","midnightblue"
"Porites_compressa_HIv1___RNAseq.20525_t","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25553.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25556.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g18371.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25562.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25561.t1","ME3","brown"
"Porites_compressa_HIv1___TS.g18378.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25572.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25573.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25577.t1","ME12","tan"
"Porites_compressa_HIv1___RNAseq.g25578.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25579.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25576.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18393.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25583.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25584.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25564.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g18379.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25566.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25567.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25568.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25569.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25570.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25571.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g18244.t1","ME20","royalblue"
"Porites_compressa_HIv1___RNAseq.g25435.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25466.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25521.t1","ME9","magenta"
"Porites_compressa_HIv1___RNAseq.g25528.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18353.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g25541.t1","ME9","magenta"
"Porites_compressa_HIv1___RNAseq.g25410.t1","ME4","yellow"
"Porites_compressa_HIv1___TS.g18227.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25412.t1","ME2","blue"
