Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R1_H1	14708541.0	277.0	10328325.0	70.22	278.56	9144692.0	8471789.0	8999106.0	75906.0	5104.0	64576.0	0.58	0.04	2.78	0.03	2.37	871254.0	5.92	39265.0	0.27	0.0	23.45	0.14	0	3449105	20592
MON_R1_H2	16370417.0	277.0	11968311.0	73.11	278.12	10384461.0	9515352.0	10200904.0	87717.0	6953.0	88887.0	0.6	0.05	2.85	0.04	2.46	1123151.0	6.86	55845.0	0.34	0.0	19.56	0.13	0	3201830	21280
MON_R1_H3	15887633.0	276.0	12073413.0	75.99	277.55	11005362.0	10126032.0	10821648.0	88990.0	7241.0	87483.0	0.61	0.04	2.81	0.04	2.44	1170973.0	7.37	76780.0	0.48	0.0	16.04	0.11	0	2548986	17481
MON_R24_C1	15856240.0	277.0	12153943.0	76.65	278.15	11168073.0	10301484.0	10988916.0	89195.0	6299.0	83663.0	0.59	0.04	2.84	0.04	2.44	1156883.0	7.3	80906.0	0.51	0.0	15.42	0.13	0	2443904	20604
MON_R24_C2	17770067.0	276.0	13313658.0	74.92	278.16	12009060.0	11063498.0	11818108.0	96345.0	6201.0	88406.0	0.59	0.04	2.8	0.03	2.4	1137713.0	6.4	60548.0	0.34	0.0	18.17	0.17	0	3227947	30201
MON_R24_C3	19410983.0	275.0	14518629.0	74.8	277.55	12391771.0	11436263.0	12180694.0	101648.0	7199.0	102230.0	0.61	0.05	2.85	0.04	2.44	1339762.0	6.9	94438.0	0.49	0.0	17.65	0.17	0	3425164	32990
MON_R24_H1	18088886.0	277.0	14467543.0	79.98	278.51	12084965.0	11265629.0	11882580.0	95746.0	7163.0	99476.0	0.58	0.05	2.84	0.04	2.44	1267814.0	7.01	67284.0	0.37	0.0	12.49	0.15	0	2259114	27131
MON_R24_H2	15022547.0	277.0	11888481.0	79.14	278.37	10201276.0	9493255.0	10029372.0	82572.0	6057.0	83275.0	0.59	0.04	2.76	0.04	2.43	1032800.0	6.87	52757.0	0.35	0.0	13.5	0.14	0	2027483	21026
MON_R24_H3	18242762.0	278.0	14033992.0	76.93	278.63	11227336.0	10364948.0	11046066.0	89510.0	6268.0	85492.0	0.59	0.05	2.79	0.04	2.42	1129651.0	6.19	45568.0	0.25	0.0	16.56	0.07	0	3020782	12769
MON_R3_C1	16441546.0	277.0	13237407.0	80.51	278.34	11955420.0	11127690.0	11760179.0	105987.0	6624.0	82630.0	0.59	0.04	2.85	0.04	2.45	1147039.0	6.98	78461.0	0.48	0.0	11.83	0.2	0	1945744	32895
