Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Montipora_capitata_HIv3___RNAseq.g4097.t1	0.0859636564237174	0.360839349555476	-129.123822215193	-133.945985635465	17	12	16.1693264115578	0	0	0	0	0.0029493616824918	0.0266064492840023	0.900838120716515	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g45194.t1	0.999999999999777	1	-4.89523164068519	-4.89524569537981	17	12	2.19304330523965e-06	0	0	0	0	0.803296677930232	1	0.926109092390386	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g6.t1	0.118687999300507	0.45184917841256	-161.692059855725	-166.076006714016	17	12	20.6372939940369	0	0	0	0	0.708072616919073	1	0.694352341256688	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29879.t1a	0.508843038143884	1	-119.323987848024	-121.467611328029	17	12	5.08989349070137	0	0	0	0	0.75539830777843	1	0.7310223629082	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g23485.t1	0.995947611134536	1	-11.4194877327961	-11.6078283174986	17	12	0.195211131299237	0	0	0	0	0.930880808638855	1	0.943970958242275	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29880.t1	0.999940944623129	1	-14.9436116384625	-14.9768202387128	17	12	5.3932416093059e-05	0	0	0	0	0.782325681533552	1	0.898639933013421	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g8158.t1	0.438367604244947	1	-107.990378633556	-110.399875529333	17	12	10.7839452893999	0	0	0	0	0.263893942941127	0.643439215464916	0.835583514535729	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g20314.t1	0.501755749006631	1	-59.3357898000395	-61.5051200729565	17	12	0.756195332801914	0	0	0	0	0.207651284015955	0.557582500669778	0.997920835362137	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29879.t1b	0.915335775938545	1	-273.117582610356	-273.857715787458	17	12	1039.84717974381	0	0	0	0	0.0934234989098848	0.334866894261844	0.972376556825336	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g12516.t1	0.885843751933947	1	-169.586436372872	-170.448509728039	17	12	27.7852977486712	0	0	0	0	0.2145620084508	0.568004284602278	0.952976408215954	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g14361.t1	0.623917657419932	1	-155.407284372632	-157.155533153736	17	12	29.2340467770674	0	0	0	0	0.299374045254708	0.691771024747474	0.280089411940566	0.992566196200948	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___TS.g19443.t1	0.999860050236886	1	-19.0142959977376	-19.0613777585695	17	12	7.15812065199975e-05	0	0	0	0	0.792271515683169	1	0.711911647554152	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g8261.t1	0.40638508909577	0.97237730370101	-256.091612768295	-258.630822101955	17	12	230.454985179051	0	0	0	0	0.337206020698009	0.739986993661993	0.817698192663287	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g8264.t1	0.484656008954988	1	-96.2611066252231	-98.4933239776054	17	12	2.40324838148077	0	0	0	0	0.119665894298044	0.394479402365014	0.894178166310438	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g19445.t1	0.328675611447996	0.861730217601473	-129.451644073717	-132.33941673296	17	12	14.5180272776611	0	0	0	0	0.0107598978174396	0.0718011283433582	0.739872745552456	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g19446.t1	0.642376459547729	1	-168.968451647758	-170.655964011102	17	12	24.1612105308203	0	0	0	0	0.592585477429931	0.981425397835104	0.972364978484475	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g12520.t1	0.973895991968083	1	-31.5099118157238	-31.9337298758365	17	12	0.412035993199451	0	0	0	0	0.712975948911203	1	0.965635613929738	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g12522.t1	0.989354438700041	1	-54.9532495222606	-55.2380301916241	17	12	0.798785633100382	0	0	0	0	0.649087316213793	1	0.989176271506222	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g12523.t1	0.562334119232745	1	-131.891327500673	-133.846709360487	17	12	17.4160231197677	0	0	0	0	0.0903844319181162	0.328128012440123	0.900380599024569	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g12524.t1	0.656849386368079	1	-180.156638992351	-181.796820579524	17	12	66.0795388164634	0	0	0	0	0.12555550059244	0.406657395574584	0.865232399102941	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g256.t1	0.113378948595862	0.437631183087588	-133.225388639232	-137.672250968173	17	12	44.7572756524309	0	0	0	0	0.592804734921621	0.981493602753811	0.032681060787036	0.197712117080905	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g257.t1	1	1	-10.0769274392275	-10.0768902687945	17	12	0.263651868522069	0	0	0	0	1	1	0.99999999999998	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g258.t1	0.780278808787394	1	-48.7631523383473	-50.0005741674436	17	12	0.841094531990576	0	0	0	0	0.392548846768425	0.805848045889412	0.929161871733005	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g259.t1	0.754410838404899	1	-80.2013253754747	-81.5241726965554	17	12	2.46963828456302	0	0	0	0	0.903568338170488	1	0.122779847823292	0.554957324682796	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g45384.t1	0.474607135521071	1	-131.426265614795	-133.696048708366	17	12	7.21427179577134	0	0	0	0	0.645055889193256	1	0.201852326304084	0.794428394082759	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g8592.t1	0.97274358462164	1	-28.8388814503984	-29.2710929691959	17	12	0.262373590165484	0	0	0	0	0.870789821124314	1	0.835411461407018	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g27333.t2	0.458958876848177	1	-130.251644584973	-132.580901479741	17	12	11.086095662449	0	0	0	0	0.170481196309724	0.492841272385391	0.432934797315702	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3865.t1	0.949395642280988	1	-21.9294048593288	-22.5054207828408	17	12	0.57904464752076	0	0	0	0	0.863300766180103	1	0.823806860013862	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g50917.t1	0.984014250130523	1	-113.738034568756	-114.078354823196	17	12	8.33629769456941	0	0	0	0	0.726720330349194	1	0.715768531167256	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3868.t1	0.775412621041798	1	-117.731711051279	-118.985303511995	17	12	7.35615686865811	0	0	0	0	0.904177271860208	1	0.543314551614485	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3869.t1	0.90664137357688	1	-53.7536413936429	-54.5311224762924	17	12	1.98056803052196	0	0	0	0	0.59241493822102	0.981274774509333	0.999673131550252	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3873.t1	0.157614208928302	0.542466854485731	-101.973370908173	-105.960912410684	17	12	4.91530319147104	0	0	0	0	0.228048713386679	0.589812033525537	0.446155410170604	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3874.t1	0.055160058831283	0.263247433595033	-113.108432402029	-118.51625897921	17	12	15.0384290745876	0	0	0	0	0.095014191692763	0.338639220108998	0.166036377578446	0.68923341801321	FALSE	FALSE	FALSE
