"Gene","cluster","membership","response_type"
"Porites_compressa_HIv1___RNAseq.g10130.t1",1,0.84272152441004,"Other"
"Porites_compressa_HIv1___RNAseq.g10132.t1",5,0.76209750988485,"Other"
"Porites_compressa_HIv1___RNAseq.g10133.t1",6,0.60978967214441,"Other"
"Porites_compressa_HIv1___RNAseq.g10135.t1",3,0.77708115101914,"Transient"
"Porites_compressa_HIv1___RNAseq.g10139.t1",6,0.982635014030364,"Other"
"Porites_compressa_HIv1___RNAseq.g10150.t1",3,0.888395565581961,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10160.t1",3,0.666251454577271,"Transient"
"Porites_compressa_HIv1___RNAseq.g10162.t1",5,0.543486971789631,"Other"
"Porites_compressa_HIv1___RNAseq.g10164.t1",3,0.944929835253743,"Transient"
"Porites_compressa_HIv1___RNAseq.g10167.t1",5,0.956663531155581,"Transient"
"Porites_compressa_HIv1___RNAseq.g10170.t1",2,0.481538734644053,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10172.t1",5,0.862107463257086,"Transient"
"Porites_compressa_HIv1___RNAseq.g10183.t1",2,0.427128693770108,"Other"
"Porites_compressa_HIv1___RNAseq.g10185.t1",5,0.887002123747036,"Other"
"Porites_compressa_HIv1___RNAseq.g10200.t1",6,0.955079250660603,"Other"
"Porites_compressa_HIv1___RNAseq.g10201.t1",6,0.909890893924437,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10212.t1",6,0.805632777508063,"Other"
"Porites_compressa_HIv1___RNAseq.g10213.t1",5,0.684345954646473,"Other"
"Porites_compressa_HIv1___RNAseq.g10214.t1",3,0.542192053894318,"Transient"
"Porites_compressa_HIv1___RNAseq.g10218.t1",1,0.922697849509514,"Other"
"Porites_compressa_HIv1___RNAseq.g10237.t2",3,0.773514451968656,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10242.t1",1,0.582874132835219,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10247.t2",5,0.989423742506008,"Other"
"Porites_compressa_HIv1___RNAseq.g10249.t1",1,0.876003577433756,"Other"
"Porites_compressa_HIv1___RNAseq.g10261.t1",2,0.642325829470374,"Other"
"Porites_compressa_HIv1___RNAseq.g10264.t1",4,0.463123543570621,"Other"
"Porites_compressa_HIv1___RNAseq.g10275.t2",6,0.965185454336425,"Other"
"Porites_compressa_HIv1___RNAseq.g10280.t1",3,0.927339271452918,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10284.t1",3,0.658784588275542,"Other"
"Porites_compressa_HIv1___RNAseq.g10296.t1",3,0.825020875563993,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10306.t1",2,0.70471984829929,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10314.t1",1,0.805221453974693,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10319.t1",1,0.491583983261714,"Other"
"Porites_compressa_HIv1___RNAseq.g10325.t1",6,0.682150423906515,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10326.t1",6,0.948177748963101,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10339.t1",4,0.794616337998842,"Other"
"Porites_compressa_HIv1___RNAseq.g1034.t1",4,0.808668677477418,"Other"
"Porites_compressa_HIv1___RNAseq.g10341.t1",6,0.626110841745584,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10343.t1",2,0.669879447290722,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10344.t1",5,0.843444364001689,"Other"
"Porites_compressa_HIv1___RNAseq.g10345.t1",2,0.789809202769508,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10347.t1",5,0.810338917553673,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10348.t1",5,0.864941151221508,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10364.t1",5,0.643618264770009,"Other"
"Porites_compressa_HIv1___RNAseq.g10366.t1",3,0.706557861517988,"Other"
"Porites_compressa_HIv1___RNAseq.g1037.t1",3,0.602391470171153,"Other"
"Porites_compressa_HIv1___RNAseq.g10373.t1",2,0.937944149550713,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10379.t1",6,0.542325989501538,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10380.t1",5,0.635163267859483,"Other"
"Porites_compressa_HIv1___RNAseq.g10398.t1",2,0.64249671557242,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10399.t1a",3,0.584665021745923,"Transient"
"Porites_compressa_HIv1___RNAseq.g10399.t1c",2,0.94892402512198,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10405.t1",3,0.517603531872214,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10411.t1",5,0.798631269213634,"Other"
