"gene_id","module","color","kME_own","kME_20","kME_16","kME_23","kME_2","kME_4","kME_18","kME_7","kME_13","kME_12","kME_17","kME_19","kME_8","kME_22","kME_9","kME_24","kME_1","kME_5","kME_15","kME_11","kME_14","kME_21","kME_10","kME_3","kME_6","kME_0"
"Pocillopora_acuta_HIv2___RNAseq.g28332.t1","ME3","brown",0.900826960953213,0.0672703881537422,0.185058421681179,0.129286417547743,0.395139619875033,0.488810696518228,-0.493011832870198,-0.656360658758559,-0.622284016782374,-0.522658131447956,-0.397664330354149,-0.452754779608165,-0.526291127324937,-0.00421215678239385,-0.186811233821457,-0.396402730390137,-0.657910661010777,-0.14126152053764,0.248237012531991,0.36746968614919,0.537823870639131,0.628473081501391,0.458188642998799,0.900826960953213,0.883102142677194,0.0279994064178964
"Pocillopora_acuta_HIv2___RNAseq.g20586.t1","ME3","brown",0.900568682278639,0.112972058464844,0.146146951221934,0.103879310815496,0.495279269898795,0.44750122308967,-0.404646299524227,-0.552211422440701,-0.561964148719625,-0.494129778393473,-0.466795074066043,-0.453902445937724,-0.521681580793934,0.02635178542389,-0.228549053726125,-0.570428554866299,-0.69674137085385,-0.228866898117511,0.464130801703344,0.162574943791868,0.440800403034817,0.606025666273717,0.613053589659252,0.900568682278639,0.720929424312747,-0.0424773123117553
"Pocillopora_acuta_HIv2___RNAseq.20930_t","ME3","brown",0.899722843216753,0.353327579590803,0.272115349788349,0.228046686403094,0.454569053209984,0.640877675664242,-0.540835537985906,-0.583486527086341,-0.620581228474012,-0.246114342263252,-0.139260773035197,-0.145684362039249,-0.632573212778834,-0.0719150272739284,-0.465010772693989,-0.556719043904495,-0.676683702957251,-0.252162402165788,0.3103948907407,0.220104729561414,0.427298480851569,0.535972058112903,0.429812912775433,0.899722843216753,0.707620549057629,0.054932390769201
"Pocillopora_acuta_HIv2___RNAseq.g23757.t1","ME3","brown",0.897885448003932,0.392159437321867,0.513875607128715,0.37828257118493,0.72964958070002,0.632297922497151,-0.284369264001572,-0.423751738322233,-0.64596521080803,-0.292862323009238,-0.119575999327416,-0.403010541450653,-0.613456673589319,0.0120551997863089,-0.282103360775936,-0.549199135210177,-0.861464658075436,-0.516433329684042,0.158952806758146,0.318069556951512,0.254415862900749,0.575888762119296,0.432163924794643,0.897885448003932,0.568990363329388,-0.120956508390197
"Pocillopora_acuta_HIv2___RNAseq.g24180.t1","ME3","brown",0.896176542354843,0.375128405238371,0.312534669832831,0.275843888734146,0.690820085975543,0.609539752019354,-0.328129951590499,-0.393253355614175,-0.638805722013277,-0.253093946490535,-0.358002818957651,-0.348362303383378,-0.632919309415934,-0.0540067874937348,-0.306189494541547,-0.727888946614979,-0.79519398835373,-0.508601448115197,0.286577466536565,0.0308734928140968,0.194836355296037,0.470591075933952,0.612327372996086,0.896176542354843,0.573015615229281,-0.128385952739083
"Pocillopora_acuta_HIv2___RNAseq.g4000.t1","ME3","brown",0.895856177406335,0.437606318504491,0.544243501088444,0.467526188025323,0.728905786287759,0.81352838748764,-0.39554911255527,-0.35481289067227,-0.641050598419644,-0.105614415528317,-0.171025309041899,-0.343210790259547,-0.765604717272693,-0.189630015350655,-0.443678444137981,-0.614929018343462,-0.865548659901899,-0.584549581106004,0.113931698046454,0.22253865084489,0.156735195293319,0.427620511229632,0.357393469627864,0.895856177406335,0.69984176836842,-0.209362780146483
"Pocillopora_acuta_HIv2___RNAseq.g5909.t1","ME3","brown",0.895526947562818,0.285900674838744,0.454591172202013,0.402302431246181,0.63840625010934,0.76576606973835,-0.495316904703179,-0.412881865528712,-0.649865851465003,-0.156880534896288,-0.289219161033772,-0.372003057544698,-0.776087867928915,-0.21579966012989,-0.360426645973316,-0.617929673175705,-0.794918357883818,-0.503485052108901,0.168494333665258,0.156476671299063,0.189159112090028,0.386297467073391,0.426265093524963,0.895526947562818,0.748989504714241,-0.156173546682144
"Pocillopora_acuta_HIv2___RNAseq.g16727.t1","ME3","brown",0.895283925370306,0.399523426810953,0.551018776831809,0.435953745858263,0.77662974546516,0.772424373675691,-0.274263427615544,-0.299951832897613,-0.540167155708036,-0.191859947869838,-0.291594865945933,-0.487451259992874,-0.706536370036338,-0.134589171850358,-0.45883968662004,-0.626102209521112,-0.922815087515473,-0.590096964303609,0.191262411094908,0.210311579628238,0.20111488325727,0.497930786339454,0.404960719847412,0.895283925370306,0.698540859963955,-0.335636615821696
"Pocillopora_acuta_HIv2___TS.g27663.t2","ME3","brown",0.895076640704865,0.267083862067911,0.366199668409045,0.260330211672078,0.625393370537534,0.622664473175168,-0.418486304579878,-0.509475146762883,-0.703193521753833,-0.377286666387091,-0.249561065938544,-0.477188281219908,-0.636295587240732,-0.0494814502727836,-0.209142717435671,-0.390395731900066,-0.789761229897376,-0.406794249804547,0.13091613169769,0.433948192736347,0.310904885442175,0.565884875431731,0.349847747627954,0.895076640704865,0.710723397981184,-0.0594187075033108
"Pocillopora_acuta_HIv2___RNAseq.g12163.t1","ME3","brown",0.890583088368308,0.291180188489944,0.382861742128948,0.258273769952442,0.586706890549628,0.613886590695224,-0.361714573126255,-0.46123251291689,-0.536593426189391,-0.278664179249785,-0.234467908782086,-0.313733837489013,-0.600477716009017,0.0405265742436925,-0.365312496558303,-0.691640810759095,-0.760424454321882,-0.363608573514104,0.180016609160179,0.0613881545285572,0.351021571140714,0.544850902683755,0.53928563473136,0.890583088368308,0.62817338749703,-0.0988799019548265
"Pocillopora_acuta_HIv2___RNAseq.g27547.t1","ME3","brown",0.889943129959485,0.265462320209455,0.252149233231416,0.162475706438472,0.554528167952299,0.572386137650645,-0.491213789098662,-0.531685769380572,-0.720138144156595,-0.296174903175116,-0.304647747051856,-0.287755476721159,-0.663384509784303,-0.11110953479457,-0.232874707921071,-0.59275802146989,-0.695421392775458,-0.374487104583407,0.251995287899948,0.102572184047465,0.321858150962185,0.426660225537031,0.55476333782056,0.889943129959485,0.66959740458291,0.0223392877433679
"Pocillopora_acuta_HIv2___RNAseq.g183.t1","ME3","brown",0.889749517189359,0.261235518401703,0.321088405251295,0.33263877793466,0.575788068277793,0.57189380849659,-0.30585712998275,-0.437346704750718,-0.484251560078995,-0.374542793556714,-0.38011829347552,-0.438160773509142,-0.51831351921651,-0.0497946139774835,-0.376414306681835,-0.572600024210562,-0.775122722481198,-0.325702815637246,0.306989006661862,0.244133519130543,0.342911748656887,0.622472952585119,0.467166092645216,0.889749517189359,0.712459986631892,-0.167237850831858
"Pocillopora_acuta_HIv2___TS.g28041.t2","ME3","brown",0.888309560009425,0.207689922187017,0.221779639510458,0.106366361312209,0.565516262043805,0.471691426284922,-0.395550585595059,-0.567951747137486,-0.758730288788458,-0.400947491924966,-0.313965793794278,-0.390429712219595,-0.5932218099518,0.0662672190598872,0.0194071776380773,-0.629143702841885,-0.697769620617186,-0.372424127363878,0.0825701846757069,0.0927942448310674,0.34563134545471,0.470611758993618,0.653481252787945,0.888309560009425,0.680527169888853,0.0536283146548337
"Pocillopora_acuta_HIv2___RNAseq.g22978.t3a","ME3","brown",0.887856044628885,0.186962963590794,0.301396028582825,0.158896417688832,0.587391773863026,0.573403241936739,-0.409072778259754,-0.493170873837407,-0.625372587769317,-0.33447628420251,-0.403830520178609,-0.402083730136782,-0.635395797023462,0.0387503787690737,-0.205454228432689,-0.687315277175146,-0.736463359205997,-0.385166773289465,0.16945696719156,0.0229098869702951,0.331810483582047,0.459710595000886,0.65694468359073,0.887856044628885,0.661769989260653,-0.0533239532749044
"Pocillopora_acuta_HIv2___TS.g23075.t1","ME3","brown",0.887176360678013,0.334450501673788,0.417149181800819,0.303301681501898,0.723893852592787,0.642145305815577,-0.309574152859794,-0.357644716396888,-0.585588075527153,-0.238630293931776,-0.291074371039316,-0.412965014619768,-0.663342313275626,-0.0402374554068743,-0.316910823496307,-0.71326377594696,-0.834164989451805,-0.529539246985571,0.213556893839399,0.037459703784387,0.206928248496095,0.464281494958142,0.566782040635532,0.887176360678013,0.563269769977301,-0.195923420351437
"Pocillopora_acuta_HIv2___TS.g23107.t1","ME3","brown",0.886422665866534,0.256355732296569,0.334544633974886,0.257085965268462,0.559678461431646,0.503843833981764,-0.334723141591861,-0.562968749776167,-0.588308700267494,-0.431951832120149,-0.166883990349266,-0.391420803071726,-0.508167476381211,0.126225563242758,-0.222163007821625,-0.479519782828191,-0.74789871036292,-0.270579095322215,0.149343364516905,0.354303179768233,0.46965680676758,0.674533976863674,0.478286392218635,0.886422665866534,0.624480840654005,0.00403631238787773
