gene_id	module	color
Pocillopora_acuta_HIv2___RNAseq.g11114.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11115.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11116.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11117.t1	ME14	cyan
Pocillopora_acuta_HIv2___TS.g29291.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11118.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29293.t2b	ME3	brown
Pocillopora_acuta_HIv2___TS.g29293.t2a	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11120.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11121.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11122.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g29297.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11124.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11125.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11126.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11127.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11128.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g11129.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11130.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11131.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29305.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11133.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11134.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29308.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11136.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11137.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11138.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11139.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g11140.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11141.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11142.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g29317.t1a	ME8	pink
Pocillopora_acuta_HIv2___TS.g29317.t1b	ME8	pink
Pocillopora_acuta_HIv2___TS.g29319.t1	ME21	darkred
Pocillopora_acuta_HIv2___TS.g29320.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g29321.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11149.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11150.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11151.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11152.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11153.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11154.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11155.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11156.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11157.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11158.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11159.t1	ME18	lightgreen
Pocillopora_acuta_HIv2___RNAseq.g11160.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11161.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g11162.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11163.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g11164.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29337.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11165.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11166.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11167.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11168.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11170.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11171.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11172.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11173.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29347.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11175.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11176.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11177.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11179.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11180.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11181.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11182.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11183.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g29356.t2	ME14	cyan
Pocillopora_acuta_HIv2___RNAseq.g11185.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g29359.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11190.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___TS.g29361.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11192.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29363.t1	ME18	lightgreen
Pocillopora_acuta_HIv2___TS.g29364.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g29365.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11197.t2	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11198.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11201.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g29371.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29372.t2	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11203.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29375.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11206.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11207.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11208.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11209.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11210.t1	ME14	cyan
Pocillopora_acuta_HIv2___RNAseq.g11211.t1	ME8	pink
Pocillopora_acuta_HIv2___TS.g29383.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11212.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11213.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11214.t1	ME14	cyan
Pocillopora_acuta_HIv2___TS.g29387.t2	ME14	cyan
Pocillopora_acuta_HIv2___TS.g29388.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11217.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11218.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___RNAseq.g11219.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11220.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11222.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11223.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g11225.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11226.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11227.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11228.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11229.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11230.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11231.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11232.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___TS.g29405.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11235.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29407.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29408.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11237.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29410.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11239.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11240.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11250.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11251.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11252.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11253.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___RNAseq.g11254.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11255.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11256.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11257.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11258.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29430.t2	ME1	turquoise
