"module","treatment_time","correlation","pvalue","label"
"ME4","3hr-Control",0.0433071574111872,0.785375835760764,""
"ME4","12hr-Control",0.0951905795389406,0.54873795084735,""
"ME4","24hr-Control",0.0753220393273586,0.635438874659822,""
"ME4","72hr-Control",0.204952976899569,0.192904478274296,""
"ME4","120hr-Control",0.148415128840644,0.348233118224425,""
"ME4","0hr-Heat",0.180804712699482,0.251852692286474,""
"ME4","1hr-Heat",0.137029482641111,0.386849639075851,""
"ME4","3hr-Heat",-0.562518425400386,0.000105598209415956,"-0.56"
"ME4","12hr-Heat",-0.439708036602851,0.00357211796572601,"-0.44"
"ME4","24hr-Heat",-0.205012431479213,0.192772582243037,""
"ME4","72hr-Heat",-0.0824675469055988,0.603615951108186,""
"ME4","120hr-Heat",-0.04750596624128,0.765129775751503,""
"ME18","0hr-Control",-0.121956463074672,0.441659082712113,""
"ME18","1hr-Control",-0.0379826100618015,0.811250657545425,""
"ME18","3hr-Control",0.125820198630311,0.427217036537322,""
"ME18","12hr-Control",0.0689397566846693,0.66442333087493,""
"ME18","24hr-Control",0.154591029492721,0.328310598336627,""
"ME18","72hr-Control",-0.0841918820450873,0.596041023080665,""
"ME18","120hr-Control",-0.00789103579626409,0.96044341735777,""
"ME18","0hr-Heat",0.0683692726152545,0.667038585421154,""
"ME18","1hr-Heat",-0.341924372413488,0.0266691811972124,"-0.34"
"ME18","3hr-Heat",-0.343907861265177,0.0257457134664649,"-0.34"
"ME18","12hr-Heat",0.163058262449724,0.302178454468967,""
"ME18","24hr-Heat",0.192306401996458,0.222425473678755,""
"ME18","72hr-Heat",0.160797961612916,0.309020283994175,""
"ME18","120hr-Heat",0.00397134117443548,0.980086398176588,""
"ME7","0hr-Control",-0.0454735296557061,0.774911534178286,""
"ME7","1hr-Control",-0.0444282266756925,0.779955911938303,""
"ME7","3hr-Control",-0.140144598396735,0.376042685288471,""
"ME7","12hr-Control",0.0565533497834123,0.722041410536423,""
"ME7","24hr-Control",0.118451010516913,0.4549912119975,""
"ME7","72hr-Control",-0.0648470099754044,0.683270871742858,""
"ME7","120hr-Control",-0.0350964275763088,0.825361403075347,""
"ME7","0hr-Heat",0.0595247751088958,0.708065735960895,""
"ME7","1hr-Heat",-0.290384675306604,0.0621060648767806,""
"ME7","3hr-Heat",-0.690843466295636,4.1091822218614e-07,"-0.69"
"ME7","12hr-Heat",0.148771135278635,0.347065024327364,""
"ME7","24hr-Heat",0.372709463253886,0.0150638583974851,"0.37"
"ME7","72hr-Heat",0.318632628969812,0.0397243169444731,"0.32"
"ME7","120hr-Heat",0.236575570970533,0.131447025613191,""
"ME13","0hr-Control",-0.113418211466703,0.474507453152118,""
"ME13","1hr-Control",0.00920119923000632,0.95388230296779,""
"ME13","3hr-Control",0.0982847521711139,0.535759803946066,""
"ME13","12hr-Control",-0.057260093268351,0.718709046887728,""
"ME13","24hr-Control",-0.134762727347445,0.394826763483478,""
"ME13","72hr-Control",-0.148514833078482,0.347905736262471,""
"ME13","120hr-Control",-0.112062519722373,0.479839120305542,""
"ME13","0hr-Heat",-0.00617778234252885,0.969026973997419,""
"ME13","1hr-Heat",-0.363058495146135,0.018120504750814,"-0.36"
"ME13","3hr-Heat",-0.3329777786456,0.0311831668487738,"-0.33"
"ME13","12hr-Heat",0.430951317317348,0.00438357531972033,"0.43"
"ME13","24hr-Heat",0.441672522869245,0.00340927569699565,"0.44"
"ME13","72hr-Heat",0.0903862680014326,0.569180020717809,""
"ME13","120hr-Heat",0.197736381428474,0.209390700875452,""
"ME12","0hr-Control",-0.0249674146069524,0.875285383713726,""
"ME12","1hr-Control",-0.108420262845779,0.494317637090991,""
"ME12","3hr-Control",-0.127957522281109,0.419343195117971,""
"ME12","12hr-Control",-0.0576296567098802,0.716968561663547,""
"ME12","24hr-Control",-0.00859245935172375,0.956930438889936,""
"ME12","72hr-Control",0.010732668137005,0.94621676174256,""
"ME12","120hr-Control",-0.0132565388625379,0.933594665110718,""
"ME12","0hr-Heat",-0.0397037701654356,0.8028634771037,""
"ME12","1hr-Heat",-0.068180196828892,0.667906221602068,""
"ME12","3hr-Heat",-0.508563585848209,0.000584208810216069,"-0.51"
"ME12","12hr-Heat",-0.299657014741387,0.0538606895865765,""
"ME12","24hr-Heat",0.283442224085862,0.068913593095955,""
"ME12","72hr-Heat",0.459716507453869,0.00219228041427158,"0.46"
"ME12","120hr-Heat",0.503037022565171,0.000685310720149007,"0.5"
"ME17","0hr-Control",-0.233254360251031,0.137111371111914,""
"ME17","1hr-Control",0.0292129655719453,0.854290180052465,""
"ME17","3hr-Control",-0.0174698033306454,0.912561008230187,""
"ME17","12hr-Control",-0.184782766435736,0.241393389443735,""
"ME17","24hr-Control",0.0629354655145268,0.692140094412221,""
"ME17","72hr-Control",0.00298431667294158,0.985035010781632,""
"ME17","120hr-Control",-0.0982289941749988,0.535992351511511,""
"ME17","0hr-Heat",-0.0855003563084994,0.590320926636026,""
"ME17","1hr-Heat",0.0799029076856382,0.614958539870702,""
"ME17","3hr-Heat",0.0744258098340852,0.639477981386002,""
"ME17","12hr-Heat",-0.51819643500871,0.000439444888233282,"-0.52"
"ME17","24hr-Heat",0.0105925129278058,0.94691809921781,""
"ME17","72hr-Heat",0.488898608041501,0.00101861581556976,"0.49"
"ME17","120hr-Heat",0.388480129261177,0.0110096604619862,"0.39"
"ME19","0hr-Control",-0.171883185200855,0.276401369753635,""
"ME19","1hr-Control",-0.165775370785973,0.294083246822361,""
"ME19","3hr-Control",0.0672244024158685,0.672298713722145,""
"ME19","12hr-Control",-0.101604402736213,0.522003411520072,""
"ME19","24hr-Control",-0.151446151109948,0.338364912878373,""
"ME19","72hr-Control",-0.0439096321254557,0.782461848440006,""
"ME19","120hr-Control",-0.0683432409741171,0.667158014743103,""
"ME19","0hr-Heat",-0.153570398502103,0.331552962192619,""
"ME19","1hr-Heat",-0.237218316839302,0.130371271257499,""
"ME19","3hr-Heat",0.385644195896587,0.0116608712035707,"0.39"
"ME19","12hr-Heat",-0.394871146152256,0.00965509304466839,"-0.39"
"ME19","24hr-Heat",0.157082362187801,0.320479489110022,""
"ME19","72hr-Heat",0.360258466345327,0.0190994318925698,"0.36"
"ME19","120hr-Heat",0.518412417580641,0.000436605831935171,"0.52"
"ME15","0hr-Control",0.0337561049604346,0.831933119821163,""
"ME15","1hr-Control",0.19175094793348,0.223789662833732,""
