"sample","ME20","ME16","ME23","ME2","ME4","ME18","ME7","ME13","ME12","ME17","ME19","ME8","ME22","ME9","ME24","ME1","ME5","ME15","ME11","ME14","ME21","ME10","ME3","ME6","ME0"
"POC_R24_C3",0.11573484671114,0.080931799187744,0.117105815136209,0.166326993398583,0.0248055888648968,0.167936448398739,0.108337310264641,-0.018992081161465,0.0213735705108807,0.0886347152202632,-0.021668766262932,0.0468802541771755,0.149711576993643,-0.0874678257374845,-0.0767458543164889,-0.111943623875857,-0.135146759273571,0.00613827214417776,0.0104172291543025,-0.0890833143011321,0.109560453174453,0.0742977279065566,0.0168797415794263,-0.121902164638131,-0.0818777530263282
"POC_R24_H1",-0.183053019654099,-0.0161156901348085,0.0900432440464762,-0.176054371526856,-0.0673434218969484,-0.0141085473720232,0.160587419058226,0.202417442978344,0.177757418823413,0.103030845208419,0.106291194265577,0.0409069477443376,-0.196939212042844,0.0406780886703895,0.0984993417981635,0.206258750500331,0.073357900548577,-0.0318846477195378,-0.102424935384461,-0.166286423308803,-0.256567090016885,-0.233652894908143,-0.221318203311605,-0.00430472834624021,-0.0132857266275659
"POC_R24_H2",-0.191991253567588,-0.0659605363993272,0.178004672299222,-0.138094939471613,-0.0592811904633576,0.0487423389661194,0.197369032370351,0.215869751414327,0.156719119759438,-0.145336501952286,0.0265201933930701,0.0826782108892279,-0.151630016148814,0.0338948917403448,-0.00341912977299409,0.183010073128825,0.0725061235620803,-0.0264734170807479,-0.207538434323001,-0.186493600782202,-0.212042372870294,-0.128605075942604,-0.200477001448175,-0.0603102750575511,-0.0927800620430344
"POC_R24_H3",-0.0640578823933426,0.0294652082914379,0.140338459500483,-0.122452590981821,-0.215550550111839,0.286334424200387,0.264112757856106,0.3188845282284,0.138601549308028,0.0599850472369638,0.129366288179361,0.283813153746732,0.114484732611071,0.0185175995680063,0.0618870632696864,0.180990897957077,0.059346431151538,-0.0293979919561904,-0.0806736920287137,-0.173429147624769,-0.121491376691128,-0.132060625264144,-0.281823668957342,-0.184402185010712,-0.0734062042911516
"POC_R72_C1",0.10626733137153,0.112975465864603,0.101709841711559,0.109637202028148,0.0218826644430783,0.0682155406430024,-0.015550302654694,0.0550012688218921,-0.103057842378877,-0.00268067076494253,-0.123725861873216,0.0238952172687229,-0.00763258157299605,-0.118022278327913,0.101730938122663,-0.134173705258529,-0.0103828357918086,0.0335326479242164,0.236652396277519,0.0945170647313978,0.195812012497942,-0.118789218035308,0.0682465205211048,0.00927301017703257,-0.0994191441917373
"POC_R72_C2",0.285444812837297,-0.0334752786429634,0.0652707788800236,0.126446328228876,0.127762573074652,-0.0847827080929127,-0.0505513387764859,-0.176073193742351,0.107167408258087,0.0650226574946603,0.131951510314199,-0.173989791998864,-0.173515336510983,-0.0738441799842254,-0.125990107682981,-0.0988256765770372,-0.151852296875408,0.0873763131419542,-0.00546261339593238,-0.0442457484406893,-0.0125373543221052,0.0597640993189975,0.135399495469493,0.0487997001392533,0.00210039795088049
"POC_R72_C3",0.0696860829457787,0.0796577568212164,0.0830937345482039,0.113654416476144,0.192430692530788,-0.123952949841291,-0.0421309960438631,-0.12680615140637,0.0138037500940783,-0.0573610251603914,-0.081512840823477,-0.191799400505849,-0.170960445338547,-0.0762525171087701,-0.00683720452738712,-0.137329252397255,-0.125065830477421,0.0349527505795802,0.123058860109202,-0.0170914190374844,0.0226177515432411,-0.0713408318696643,0.131795796948768,0.198907684453689,-0.0631116671097824
"POC_R72_H1",0.0706361891413822,0.117636848949683,0.00920990505156528,-0.0691732564171123,-0.0693268558650877,0.157807337743363,0.200591346257967,0.0781095223342779,0.244936069572618,0.318617346555402,0.211263944385075,0.107602831075011,-0.00448339789487211,0.0454139495939706,0.100119454434072,0.167809493373486,-0.0572902312189462,-0.31293483896198,-0.0986555363445797,-0.225234506473967,-0.254407430138189,-0.152139830701993,-0.259715592981187,-0.27998367463558,0.0132509540666365
"POC_R72_H2",0.00420144110760989,0.0961629894384271,0.0264860501211624,-0.117424258341103,-0.00844231999139878,0.0686839126852532,0.167035699255223,0.0628468020818702,0.258191668248879,0.252200063448434,0.177892334419633,0.0570557308136507,-0.0508434955896794,0.0392941109444189,0.181874225362361,0.17993843298014,-0.0259107138725925,-0.436701190087296,-0.0559209084162187,-0.186497468497661,-0.242130544203195,-0.243551876575155,-0.25734165644121,-0.133157847419322,0.00817840856403204
"POC_R72_H3",0.1016404058645,0.00903820436183686,0.0258523704928516,-0.0610354036713013,-0.0598729469040722,0.04188793147318,0.164185444100283,0.00990250748730614,0.264160223665385,0.245176817428992,0.212131644879943,0.0254345276838004,-0.0725411187548167,0.134931890833192,0.144713805597715,0.171580744549975,-0.0640492357737068,-0.40731182127007,-0.0802755741788373,-0.192689285670026,-0.272622153464958,-0.171037008661113,-0.258329774385974,-0.251159583349567,0.0199570728557087
"POC_R120_C1",0.16393756454533,0.0435468675122496,0.20310965013578,0.118862851392592,0.0122850589179996,0.12443262404108,0.0195755386535578,0.0115873374834677,-0.0843533155659465,-0.0774581283167416,-0.108476809998958,0.0622460070174021,0.0498360411750326,-0.0678445508051584,0.122262081491276,-0.125158700403283,-0.0572940829476338,0.00950420679219434,0.268596189584586,0.0149342861928534,0.136128887141052,-0.131689738024709,0.0806064490139636,0.00423076315068275,-0.0237325543965337
"POC_R120_C2",0.264554376180129,-0.106324290233506,0.111594403806195,0.0765923645703962,0.136336943135328,-0.0897697289242415,-0.0424594551434874,-0.120505981887427,0.049620416824689,-0.109689895999768,0.0273650070952803,-0.130939345592849,-0.199343234235677,-0.120818221075967,0.0198974592935747,-0.0949529494379156,-0.0800140527070205,0.0796966505692328,0.161564446450899,0.00538085016003684,0.0275708717217463,-0.076442788350647,0.0949453414139924,0.119015771222239,-0.02256789922797
"POC_R120_C3",0.21074039582334,-0.0724946405070561,0.113735424703733,0.0797988295045406,0.0990896633220514,-0.0478333962234208,-0.0356936327906999,-0.0781188470124027,0.0126071266289106,0.0231993222851712,-0.0329562046579153,-0.099623438462158,-0.238810030240575,-0.126775713204676,0.0708373283408564,-0.11002604601747,-0.0565195370863815,0.124790028991985,0.19516014019854,0.052672748858858,0.0454509675661127,-0.109237521361706,0.0906217853159197,0.142854838386605,-0.064987063660108
